Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
415,Olivier-Maxence Prosper,PF,21,DAL,36,0,264,4.8,13.8,.347,1.5,6.2,.235,3.3,7.5,.439,4.2,6.2,.676,3.7,8.1,11.8,3.7,0.9,0.6,0.9,3.1,15.3,,112,118
416,Trevelin Queen,SG,26,ORL,13,0,163,4.3,11.6,.368,0.9,5.2,.176,3.4,6.4,.524,2.8,3.7,.750,0.9,4.9,5.8,5.5,2.1,1.5,2.1,4.6,12.2,,101,111
417,Neemias Queta,C,24,BOS,26,0,296,8.6,13.9,.614,0.0,0.0,,8.6,13.9,.614,2.9,4.0,.708,7.7,10.2,18.0,2.4,1.8,2.5,1.7,7.7,20.0,,137,108
418,Immanuel Quickley,PG-SG,24,TOT,65,35,1885,9.7,22.3,.432,4.3,10.8,.395,5.4,11.5,.468,4.9,5.9,.839,0.4,6.0,6.4,8.0,1.3,0.2,2.4,2.8,28.5,,120,121
419,Lester Quinones,SG,23,GSW,34,0,373,6.8,16.8,.402,4.0,10.6,.375,2.8,6.2,.447,2.4,3.6,.667,2.7,6.6,9.3,4.4,0.8,0.3,2.1,5.4,19.9,,115,120
420,Jahmi'us Ramsey,SG,22,TOR,7,1,121,7.3,16.6,.439,2.4,8.9,.273,4.9,7.7,.632,2.0,2.4,.833,1.6,7.3,8.9,3.2,2.8,0.0,2.8,4.1,19.0,,102,118
421,Julius Randle,PF,29,NYK,46,46,1630,12.4,26.3,.472,2.4,7.7,.311,10.0,18.6,.539,7.4,9.5,.781,3.1,10.2,13.3,7.2,0.8,0.4,5.0,3.9,34.7,,114,116
422,Duop Reath,C,27,POR,63,20,1129,9.5,20.1,.470,3.6,10.0,.360,5.9,10.1,.581,2.7,3.7,.735,3.7,6.2,9.9,2.9,1.3,1.5,2.2,6.9,25.2,,117,118
423,Austin Reaves,SG,25,LAL,78,53,2505,8.3,17.2,.485,2.7,7.6,.361,5.6,9.6,.582,4.3,5.0,.865,1.0,5.5,6.6,8.5,1.2,0.4,3.2,2.7,23.7,,120,119
424,Cam Reddish,SF,24,LAL,46,26,961,4.5,11.5,.390,1.8,5.4,.333,2.7,6.0,.442,2.1,2.7,.759,1.3,3.6,4.9,2.4,2.4,0.7,1.6,3.1,12.8,,102,118
425,Paul Reed,C,24,PHI,78,23,1502,8.0,14.8,.539,0.7,1.8,.370,7.3,13.0,.562,2.0,2.7,.732,6.0,9.2,15.2,3.3,2.1,2.7,2.1,6.1,18.7,,123,112
426,Naz Reid,C,24,MIN,76,11,1842,10.3,21.6,.477,4.3,10.5,.411,6.0,11.1,.538,2.7,3.6,.758,1.9,8.9,10.8,2.7,1.6,1.9,2.8,4.2,27.6,,112,108
427,Jared Rhoden,SG,24,DET,13,0,154,5.7,12.0,.474,1.6,5.0,.313,4.1,6.9,.591,1.6,2.5,.625,0.6,5.7,6.3,3.5,0.9,2.2,1.9,6.3,14.5,,107,120
428,Nick Richards,C,26,CHO,64,51,1702,7.3,10.6,.688,0.0,0.0,.000,7.3,10.5,.690,3.8,5.1,.733,4.9,10.5,15.4,1.5,0.7,2.2,2.0,4.8,18.3,,134,118
429,Josh Richardson,SG,30,MIA,43,6,1103,7.0,15.9,.444,3.0,8.7,.347,4.0,7.2,.561,2.3,2.5,.944,0.8,4.7,5.5,4.8,1.1,0.6,1.6,3.5,19.4,,116,116
430,Duncan Robinson,SF,29,MIA,67,35,1893,8.1,17.9,.453,5.0,12.5,.399,3.1,5.4,.579,2.1,2.4,.889,0.4,4.1,4.5,5.1,1.2,0.4,2.5,4.3,23.3,,116,117
431,Jerome Robinson,SG,26,GSW,20,0,73,6.1,21.0,.290,1.4,11.5,.118,4.7,9.5,.500,4.1,6.8,.600,0.7,3.4,4.1,3.4,0.0,2.0,1.4,3.4,17.6,,87,122
432,Mitchell Robinson,C,25,NYK,26,21,682,5.0,8.7,.569,0.0,0.0,,5.0,8.7,.569,1.5,4.1,.364,9.7,8.6,18.3,1.4,2.6,2.3,1.9,3.5,11.4,,125,110
433,Orlando Robinson,C,23,MIA,33,7,300,6.1,12.1,.500,1.3,2.5,.533,4.7,9.6,.491,3.2,4.2,.760,4.7,9.4,14.1,5.7,1.2,1.3,3.0,5.9,16.7,,120,113
434,Jeremiah Robinson-Earl,PF,23,NOP,34,1,321,6.5,13.7,.472,1.8,5.7,.324,4.6,8.0,.577,1.8,2.3,.800,3.4,7.8,11.2,3.2,1.5,0.6,2.3,3.7,16.6,,114,114
435,David Roddy,PF,22,TOT,63,13,1172,7.0,17.3,.404,2.0,6.9,.293,5.0,10.3,.480,2.0,2.9,.691,2.2,6.6,8.9,3.3,1.1,0.5,2.4,3.0,18.0,,99,118
436,Ryan Rollins,PG,21,WAS,10,0,66,9.3,18.0,.520,1.4,2.2,.667,7.9,15.8,.500,9.3,12.2,.765,1.4,6.5,7.9,7.9,5.8,2.2,5.0,5.0,29.5,,116,110
437,Derrick Rose,PG,35,MEM,24,7,399,9.5,20.5,.461,1.9,5.1,.366,7.6,15.4,.492,3.0,3.4,.889,0.9,4.7,5.6,9.7,1.0,0.2,3.9,2.6,23.8,,109,120
438,Terry Rozier,PG-SG,29,TOT,60,59,2019,10.9,24.6,.444,3.7,10.1,.364,7.2,14.4,.500,4.3,4.9,.869,0.9,5.3,6.1,8.4,1.5,0.5,2.6,2.5,29.8,,114,119
439,Rayan Rupert,SG,19,POR,34,7,472,4.5,12.6,.358,2.1,5.5,.385,2.4,7.2,.338,1.8,2.2,.810,1.9,5.8,7.7,4.8,1.1,0.3,2.6,5.1,12.9,,100,120
440,D'Angelo Russell,PG,27,LAL,72,65,2336,9.8,21.2,.463,4.5,10.7,.422,5.3,10.6,.504,3.0,3.7,.817,0.6,4.0,4.6,9.3,1.4,0.7,3.2,3.1,27.2,,117,120
441,Matt Ryan,SF,26,NOP,26,1,386,6.3,14.5,.434,5.2,11.6,.451,1.0,2.8,.364,1.7,1.8,.929,0.8,4.2,5.0,2.2,0.8,0.1,2.4,4.0,19.4,,114,119
442,Domantas Sabonis,C,27,SAC,77,77,2755,10.7,17.9,.597,0.6,1.4,.383,10.1,16.5,.616,4.9,6.9,.702,4.9,13.9,18.7,11.3,1.2,0.8,4.5,4.1,26.8,,128,114
443,Luka Šamanić,PF,24,UTA,38,3,274,6.8,18.1,.373,2.0,7.8,.250,4.8,10.3,.466,5.0,6.4,.778,2.1,11.2,13.3,1.8,0.4,1.2,2.8,4.6,20.4,,99,121
444,Jermaine Samuels,SF,25,HOU,12,0,55,8.0,11.6,.692,0.0,1.8,.000,8.0,9.8,.818,1.8,1.8,1.000,2.7,8.0,10.7,1.8,0.9,0.9,0.0,3.6,17.8,,156,115
445,Adama Sanogo,PF,21,CHI,5,0,14,14.4,14.4,1.000,0.0,0.0,,14.4,14.4,1.000,7.2,10.8,.667,10.8,18.0,28.8,0.0,0.0,0.0,3.6,0.0,36.0,,158,115
446,Gui Santos,PF,21,GSW,20,0,158,6.9,13.8,.500,2.8,6.9,.409,4.1,6.9,.591,4.4,4.7,.933,4.7,9.1,13.8,3.4,0.9,0.6,2.2,5.9,21.0,,135,118
447,Dario Šarić,C,29,GSW,62,9,1080,8.1,17.4,.465,3.3,8.9,.376,4.8,8.6,.556,3.5,4.1,.854,3.2,9.4,12.7,6.5,1.4,0.4,3.4,5.1,23.0,,121,117
448,Olivier Sarr,C,24,OKC,14,0,95,5.7,9.8,.579,1.0,3.1,.333,4.6,6.7,.692,5.1,7.7,.667,5.1,12.8,18.0,1.0,0.0,3.6,1.5,9.2,17.5,,136,111
449,Marcus Sasser,PG,23,DET,67,7,1228,7.6,18.0,.425,3.2,8.4,.376,4.5,9.5,.469,1.9,2.3,.860,0.4,4.2,4.6,8.5,1.6,0.4,3.1,3.9,20.4,,109,122
450,Admiral Schofield,PF,26,ORL,21,0,79,5.7,15.1,.375,3.2,9.5,.333,2.5,5.7,.444,0.0,1.3,.000,1.3,8.2,9.5,3.8,0.6,0.0,2.5,5.0,14.5,,93,115
451,Dennis Schröder,PG,30,TOT,78,56,2420,8.1,18.3,.440,2.8,7.2,.384,5.3,11.1,.477,3.5,4.2,.830,0.8,3.9,4.6,9.6,1.2,0.3,3.1,3.2,22.4,,115,123
452,Dereon Seabron,SG,23,NOP,6,0,55,3.6,11.7,.308,0.9,1.8,.500,2.7,9.9,.273,4.5,5.4,.833,0.9,5.4,6.3,4.5,1.8,0.9,0.0,3.6,12.6,,115,115
453,Alperen Sengun,C,21,HOU,63,63,2046,12.6,23.5,.537,0.8,2.7,.297,11.8,20.9,.567,5.8,8.4,.693,4.4,9.7,14.1,7.5,1.8,1.1,3.9,5.1,31.9,,119,112
454,Brice Sensabaugh,SF,20,UTA,27,10,463,6.8,17.6,.389,2.7,9.6,.286,4.1,8.0,.513,2.7,3.2,.867,1.3,7.4,8.6,4.8,1.2,0.3,4.3,3.6,19.1,,96,123
455,Collin Sexton,SG,25,UTA,77,50,2048,11.9,24.3,.490,3.0,7.7,.396,8.9,16.6,.533,7.4,8.7,.860,1.7,3.1,4.8,8.9,1.5,0.4,3.9,3.7,34.3,,123,125
456,Landry Shamet,SG,26,WAS,46,5,726,7.7,17.9,.431,3.5,10.3,.338,4.2,7.6,.556,2.5,3.0,.826,1.0,3.0,4.1,3.5,1.6,0.7,2.0,5.0,21.4,,108,123
457,Day'Ron Sharpe,C,22,BRK,59,1,886,9.2,16.0,.576,0.2,0.8,.286,9.0,15.2,.591,4.2,6.9,.610,8.7,12.5,21.3,4.6,1.3,2.3,3.8,7.2,22.8,,121,113
458,Shaedon Sharpe,SG,20,POR,32,25,1059,8.3,20.4,.406,2.8,8.4,.333,5.4,11.9,.457,4.6,5.6,.824,2.0,5.5,7.5,4.4,1.3,0.6,3.4,4.1,23.9,,105,120
459,Ben Sheppard,SG,22,IND,53,1,727,5.4,13.4,.400,2.9,9.0,.319,2.5,4.4,.567,1.5,1.7,.885,0.8,4.4,5.2,3.0,2.0,0.1,0.9,5.3,15.1,,114,121
460,Pascal Siakam,PF,29,TOT,76,76,2541,12.3,23.1,.534,1.5,4.5,.340,10.8,18.6,.582,5.3,7.3,.730,2.5,7.7,10.2,6.4,1.2,0.4,2.6,3.4,31.5,,121,121
461,Ben Simmons,PG,27,BRK,15,12,359,6.0,10.3,.581,0.0,0.0,,6.0,10.3,.581,0.8,2.1,.400,4.3,12.2,16.6,12.0,1.7,1.3,3.8,5.0,12.8,,121,113
462,Kobi Simmons,PG,26,TOR,4,0,67,6.6,15.4,.429,1.5,5.9,.250,5.1,9.5,.538,0.0,0.0,,0.7,4.4,5.1,8.8,4.4,1.5,0.7,3.7,14.6,,117,115
463,Anfernee Simons,SG,24,POR,46,46,1582,11.3,26.3,.430,4.9,12.7,.385,6.4,13.6,.472,5.1,5.6,.916,0.7,4.6,5.2,8.0,0.7,0.2,4.0,3.1,32.6,,113,122
464,Zavier Simpson,PG,26,MEM,3,0,72,3.4,15.2,.227,2.1,5.5,.375,1.4,9.6,.143,2.1,2.8,.750,2.1,2.8,4.8,7.6,3.4,2.1,4.1,2.8,11.0,,80,114
465,Jericho Sims,C,25,NYK,44,10,562,3.5,4.9,.704,0.0,0.0,,3.5,4.9,.704,1.3,2.0,.636,4.9,8.1,13.0,2.2,0.7,1.6,1.5,3.8,8.2,,140,116
466,Dmytro Skapintsev,C,25,NYK,2,0,2,0.0,25.6,.000,0.0,0.0,,0.0,25.6,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,125
467,Jalen Slawson,SF,24,SAC,10,0,33,4.5,7.4,.600,0.0,3.0,.000,4.5,4.5,1.000,0.0,0.0,,1.5,8.9,10.4,3.0,1.5,1.5,3.0,10.4,8.9,,98,115
468,Javonte Smart,PG,24,PHI,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,126
469,Marcus Smart,PG,29,MEM,20,20,605,8.4,19.4,.430,3.4,11.0,.313,4.9,8.4,.583,3.5,4.6,.768,0.5,3.9,4.3,7.1,3.4,0.4,5.1,4.3,23.7,,100,115
470,Dennis Smith Jr.,PG,26,BRK,56,2,1059,6.9,15.9,.435,1.5,5.1,.294,5.4,10.8,.502,2.0,2.7,.741,2.4,5.4,7.7,9.6,3.2,0.6,3.2,5.7,17.4,,111,115
471,Dru Smith,SG,26,MIA,9,0,131,5.8,12.7,.455,2.7,6.5,.412,3.1,6.2,.500,0.8,0.8,1.000,2.3,3.1,5.4,5.4,3.5,1.2,1.9,4.6,15.0,,119,111
472,Ish Smith,PG,35,CHO,43,5,741,4.4,10.6,.418,0.3,0.5,.500,4.2,10.1,.413,0.2,0.3,.750,0.7,4.4,5.1,9.7,1.1,0.3,3.2,3.3,9.3,,97,123
473,Jabari Smith Jr.,PF,20,HOU,71,71,2252,7.7,16.9,.454,2.8,7.7,.363,4.9,9.2,.530,3.2,3.8,.830,2.9,9.8,12.7,2.3,1.1,1.2,1.9,4.1,21.3,,117,113
474,Jalen Smith,C,23,IND,57,14,993,10.7,18.0,.592,2.8,6.6,.423,7.9,11.4,.689,3.5,5.0,.692,5.0,10.5,15.5,2.8,0.7,1.8,2.0,5.7,27.5,,134,118
475,Nick Smith Jr.,SG,19,CHO,48,0,663,7.4,19.1,.388,4.0,9.6,.422,3.4,9.5,.354,0.8,1.0,.846,1.3,3.4,4.7,4.0,0.6,0.5,2.7,4.0,19.7,,98,124
476,Terquavion Smith,PG,21,PHI,13,0,75,12.0,28.6,.419,8.6,21.9,.394,3.3,6.6,.500,1.3,2.0,.667,0.0,2.0,2.0,7.3,5.3,0.0,3.3,4.0,33.9,,113,112
477,Jeremy Sochan,PF,20,SAS,74,73,2193,7.4,17.0,.438,1.5,5.0,.308,5.9,12.0,.492,2.4,3.2,.771,3.0,7.4,10.4,5.5,1.4,0.9,3.1,3.7,18.8,,104,119
478,Pat Spencer,PG,27,GSW,3,0,6,8.2,8.2,1.000,0.0,0.0,,8.2,8.2,1.000,0.0,0.0,,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,16.5,,214,127
479,Jaden Springer,SG-PG,21,TOT,45,1,448,5.8,15.1,.382,0.9,4.9,.182,4.9,10.2,.478,3.3,4.0,.833,3.7,4.0,7.7,4.4,3.0,1.6,3.3,6.7,15.8,,100,114
480,Lamar Stevens,PF,26,TOT,37,2,522,9.9,21.6,.458,1.1,3.9,.293,8.7,17.7,.495,3.4,4.6,.750,3.2,8.3,11.5,2.4,2.1,1.7,2.2,4.1,24.3,,105,113
481,Isaiah Stewart,PF,22,DET,46,45,1423,6.3,13.0,.487,2.3,6.0,.383,4.1,7.1,.575,2.2,2.9,.753,2.5,7.9,10.4,2.5,0.6,1.3,2.3,3.4,17.2,,114,121
482,Julian Strawther,SF,21,DEN,47,0,542,7.7,20.6,.371,3.8,12.9,.297,3.8,7.8,.494,2.1,2.7,.759,0.5,5.1,5.6,4.4,1.6,0.7,2.0,5.0,21.2,,102,117
483,Max Strus,SF,27,CLE,66,66,2112,6.9,16.4,.419,3.7,10.9,.344,3.1,5.6,.564,1.6,2.1,.793,1.4,6.0,7.5,6.0,1.5,0.7,2.5,3.9,19.2,,112,116
484,Jalen Suggs,SG,22,ORL,70,70,1879,8.2,17.6,.465,3.8,9.6,.397,4.4,8.0,.546,2.7,3.6,.756,1.2,4.5,5.7,5.0,2.7,1.1,3.4,5.1,22.8,,112,111
485,Cole Swider,SF,24,MIA,15,0,83,9.1,21.9,.417,6.1,17.0,.357,3.0,4.9,.625,1.2,1.2,1.000,0.6,3.6,4.3,2.4,0.6,0.6,4.9,1.2,25.5,,93,118
486,Jae'Sean Tate,SF,28,HOU,65,9,1031,5.1,10.9,.472,1.1,3.7,.299,4.0,7.2,.559,1.2,1.9,.667,2.9,6.5,9.4,3.0,2.0,0.7,1.8,6.5,12.6,,112,114
487,Jayson Tatum,PF,25,BOS,72,72,2576,12.7,26.9,.472,4.3,11.4,.378,8.4,15.5,.542,7.9,9.4,.834,1.3,10.2,11.4,6.8,1.4,0.8,3.6,2.7,37.6,,121,111
488,Terry Taylor,PF,24,CHI,31,0,188,5.4,10.5,.513,0.5,2.4,.222,4.8,8.0,.600,1.1,1.3,.800,4.6,5.4,9.9,2.7,1.3,0.5,1.9,4.6,12.3,,118,119
489,Garrett Temple,SG,37,TOR,23,1,212,5.3,13.4,.397,2.1,6.9,.300,3.2,6.5,.500,2.5,3.2,.786,2.1,5.3,7.4,3.7,2.3,0.5,2.1,4.6,15.3,,106,120
490,Dalen Terry,SG,21,CHI,54,1,578,4.5,11.0,.413,1.2,5.6,.219,3.3,5.4,.613,1.8,3.0,.618,2.1,6.2,8.3,6.2,2.0,1.1,2.3,5.8,12.1,,108,117
491,Daniel Theis,C,31,TOT,57,3,949,7.6,14.3,.530,1.3,3.3,.387,6.3,11.0,.572,1.8,2.4,.739,4.2,7.6,11.8,3.1,1.0,2.5,2.0,6.5,18.2,,122,117
492,Cam Thomas,SG,22,BRK,62,47,1938,12.7,28.7,.442,3.4,9.4,.358,9.3,19.3,.482,6.9,8.1,.850,0.7,4.5,5.2,4.7,1.1,0.4,2.9,3.4,35.5,,111,120
493,Isaiah Thomas,PG,34,PHO,4,0,14,7.0,21.1,.333,3.5,7.0,.500,3.5,14.0,.250,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,17.6,,105,125
494,Amen Thompson,SF,21,HOU,57,18,1232,8.4,16.1,.523,0.3,2.2,.143,8.1,13.9,.585,3.7,5.4,.672,5.1,9.3,14.4,5.4,2.8,1.4,3.2,5.2,20.8,,116,110
495,Ausar Thompson,SF,21,DET,63,38,1583,7.1,14.7,.483,0.6,3.5,.186,6.5,11.3,.575,2.2,3.7,.597,4.0,8.4,12.3,3.7,2.1,1.8,2.6,5.4,17.1,,107,116
496,Klay Thompson,SF,33,GSW,73,59,2166,10.4,24.2,.428,5.7,14.8,.383,4.7,9.4,.500,2.6,2.8,.919,0.8,4.7,5.5,3.8,1.1,0.7,2.6,2.8,29.0,,113,121
497,Tristan Thompson,C,32,CLE,48,0,537,6.6,10.6,.619,0.0,0.1,.000,6.6,10.5,.625,1.4,4.7,.300,6.7,9.4,16.0,4.8,1.1,1.3,2.7,5.5,14.5,,120,114
498,JT Thor,PF,21,CHO,59,2,699,4.6,11.5,.401,1.6,5.0,.324,3.0,6.5,.462,0.6,1.1,.563,2.8,6.2,9.0,1.7,0.6,1.7,1.0,3.8,11.5,,104,121
499,Matisse Thybulle,SF,26,POR,65,19,1487,4.2,10.6,.397,2.7,7.7,.346,1.5,2.9,.535,0.7,1.0,.759,1.0,3.5,4.5,3.0,3.8,1.6,1.3,3.1,11.8,,111,114
500,Xavier Tillman Sr.,C-PF,25,TOT,49,14,914,5.9,14.0,.424,0.9,4.0,.219,5.1,10.0,.505,1.2,2.7,.449,3.7,7.3,11.0,3.9,2.6,2.2,1.7,3.9,13.9,,104,112
501,Jacob Toppin,SF,23,NYK,9,0,38,6.7,12.1,.556,1.3,5.4,.250,5.4,6.7,.800,2.7,2.7,1.000,4.0,5.4,9.4,4.0,0.0,1.3,1.3,4.0,17.5,,142,119
502,Obi Toppin,PF,25,IND,78,28,1665,8.9,15.6,.572,2.7,6.8,.403,6.2,8.8,.701,2.1,2.7,.760,2.3,6.4,8.8,3.3,1.2,1.2,1.9,3.9,22.6,,129,120
503,Juan Toscano-Anderson,SF,30,SAC,11,0,53,2.8,11.1,.250,0.9,3.7,.250,1.8,7.4,.250,0.0,0.0,,3.7,9.2,12.9,3.7,0.9,0.9,1.8,10.2,6.5,,84,117
504,Karl-Anthony Towns,PF,28,MIN,60,60,1969,12.0,23.7,.506,3.4,8.1,.423,8.6,15.7,.550,6.4,7.3,.874,2.3,10.5,12.8,4.6,1.1,1.0,4.3,5.0,33.8,,116,109
505,Gary Trent Jr.,SG,25,TOR,67,37,1873,8.8,20.5,.428,4.5,11.2,.403,4.3,9.4,.458,1.8,2.3,.775,0.6,3.9,4.5,2.8,1.8,0.3,1.1,2.3,23.9,,112,122
506,Oscar Tshiebwe,PF,24,IND,8,0,42,11.3,22.7,.500,0.0,0.0,,11.3,22.7,.500,6.8,9.1,.750,9.1,9.1,18.1,2.3,2.3,1.1,0.0,3.4,29.5,,133,116
507,P.J. Tucker,PF,38,TOT,27,6,419,1.7,5.1,.326,1.3,3.7,.355,0.4,1.4,.250,0.4,0.4,1.000,2.9,6.0,8.9,1.7,1.7,0.8,1.0,6.3,5.0,,115,118
508,Myles Turner,C,27,IND,73,73,1968,10.8,20.8,.518,2.6,7.3,.354,8.2,13.5,.607,5.6,7.2,.774,2.6,9.4,12.1,2.2,0.9,3.3,2.5,5.4,29.7,,120,116
509,Hunter Tyson,PF,23,DEN,15,0,44,9.2,21.9,.421,4.6,15.0,.308,4.6,6.9,.667,0.0,0.0,,1.2,9.2,10.4,2.3,0.0,0.0,2.3,11.5,23.0,,101,118
510,Stanley Umude,SG,24,DET,24,2,307,5.9,13.3,.440,3.8,8.4,.453,2.1,4.9,.419,4.6,5.1,.906,1.3,6.8,8.1,1.7,1.3,1.1,2.2,6.3,20.1,,120,120
511,Jonas Valančiūnas,C,31,NOP,77,77,1843,10.3,18.3,.564,1.0,3.1,.325,9.3,15.3,.612,4.2,5.2,.795,4.8,13.7,18.6,4.4,0.8,1.8,2.8,5.6,25.8,,125,110
512,Jarred Vanderbilt,PF,24,LAL,29,6,581,4.9,9.5,.518,0.7,2.2,.296,4.2,7.2,.586,2.0,3.0,.667,3.4,8.1,11.5,3.0,3.0,0.4,2.3,3.6,12.5,,113,114
513,Fred VanVleet,PG,29,HOU,70,70,2562,7.4,18.1,.412,4.0,10.6,.379,3.4,7.5,.458,3.4,4.0,.865,0.6,4.5,5.0,10.8,1.9,1.1,2.3,3.3,22.3,,123,115
514,Devin Vassell,SG,23,SAS,68,62,2248,10.6,22.6,.472,3.5,9.5,.372,7.1,13.0,.544,3.4,4.3,.801,0.6,5.0,5.6,5.9,1.6,0.5,2.3,1.6,28.3,,114,120
515,Sasha Vezenkov,PF,28,SAC,39,0,487,8.2,18.5,.446,4.4,11.6,.383,3.8,6.9,.551,1.2,1.5,.800,3.0,6.3,9.4,1.9,1.9,0.7,1.2,4.0,22.1,,118,117
516,Gabe Vincent,PG,27,LAL,8,0,170,3.7,11.1,.333,0.6,5.7,.100,3.1,5.4,.579,0.3,0.6,.500,0.9,1.1,2.0,5.1,2.0,0.0,1.1,4.5,8.2,,91,121
517,Nikola Vučević,C,33,CHI,72,70,2460,11.3,23.5,.479,1.8,6.1,.291,9.5,17.4,.545,2.0,2.4,.821,4.1,11.7,15.8,5.0,1.0,1.2,2.4,3.7,26.2,,113,116
518,Tristan Vukcevic,C,20,WAS,8,2,108,8.8,20.2,.435,3.1,10.5,.292,5.7,9.7,.591,3.5,4.8,.727,1.3,10.1,11.4,3.5,1.8,1.3,2.2,8.8,24.2,,106,117
519,Dean Wade,PF,27,CLE,54,32,1108,4.4,10.5,.414,3.6,9.2,.391,0.8,1.4,.567,0.9,1.2,.769,1.7,8.2,9.9,2.0,1.8,1.1,0.9,4.2,13.2,,122,113
520,Franz Wagner,SF,22,ORL,69,69,2249,11.2,23.2,.481,2.0,7.1,.283,9.2,16.1,.569,5.7,6.8,.843,1.5,6.6,8.1,5.8,1.6,0.6,3.0,3.6,30.1,,116,113
521,Moritz Wagner,C,26,ORL,75,1,1326,11.7,19.3,.603,1.4,4.1,.339,10.3,15.2,.674,5.9,7.3,.805,4.2,8.1,12.3,3.5,1.3,0.8,3.4,5.6,30.6,,127,112
522,Ish Wainright,SF,29,TOT,10,0,61,5.7,19.5,.292,5.7,16.2,.350,0.0,3.2,.000,1.6,1.6,1.000,2.4,8.9,11.4,0.8,3.2,0.8,1.6,6.5,18.7,,98,112
523,Jabari Walker,SF,21,POR,68,19,1587,6.8,14.7,.464,1.2,4.1,.290,5.6,10.6,.531,3.8,5.0,.755,4.2,10.1,14.4,2.2,1.3,0.7,1.9,5.1,18.6,,115,117
524,Jarace Walker,PF,20,IND,31,0,328,6.1,15.3,.400,2.9,7.6,.385,3.2,7.7,.415,1.2,1.3,.889,1.7,6.7,8.4,5.7,2.0,1.6,2.3,4.2,16.3,,108,117
525,Lonnie Walker IV,SG,25,BRK,55,0,923,10.5,24.6,.427,5.5,13.7,.399,5.0,10.9,.463,2.3,3.1,.754,0.6,5.6,6.2,3.6,1.6,0.9,2.6,3.6,28.8,,107,118
526,Cason Wallace,SG,20,OKC,77,11,1591,6.3,12.7,.494,2.8,6.7,.417,3.5,6.0,.579,0.9,1.1,.784,1.5,3.9,5.3,3.3,2.1,1.0,1.4,3.8,16.3,,122,116
527,Jordan Walsh,SF,19,BOS,7,0,46,3.2,9.7,.333,0.0,5.4,.000,3.2,4.3,.750,0.0,0.0,,4.3,10.8,15.1,4.3,2.2,1.1,2.2,7.6,6.5,,95,108
528,T.J. Warren,SF,30,MIN,10,0,123,7.3,16.7,.439,0.8,5.3,.154,6.5,11.4,.571,1.2,1.6,.750,2.0,6.9,9.0,3.7,1.6,0.4,1.6,4.5,16.7,,103,111
529,P.J. Washington,PF,25,TOT,69,41,2100,8.0,18.1,.440,3.0,9.2,.325,5.0,9.0,.558,2.3,3.3,.686,1.9,7.1,9.0,3.1,1.6,1.3,2.2,3.8,21.2,,107,118
530,TyTy Washington Jr.,PG,22,MIL,6,0,30,3.2,14.6,.222,3.2,6.5,.500,0.0,8.1,.000,0.0,0.0,,1.6,3.2,4.9,1.6,3.2,0.0,3.2,1.6,9.7,,68,117
531,Yuta Watanabe,SF,29,TOT,34,0,464,4.4,12.3,.353,2.7,9.0,.294,1.7,3.3,.516,1.1,1.8,.588,1.2,4.6,5.7,1.6,1.3,0.7,2.0,4.1,12.4,,93,118
532,Lindy Waters III,SG,26,OKC,34,0,235,7.5,17.4,.429,5.4,14.1,.382,2.1,3.3,.625,0.4,0.4,1.000,1.5,6.2,7.7,4.2,0.8,1.2,1.2,4.2,20.8,,121,117
533,Trendon Watford,PF,23,BRK,59,0,732,9.8,18.1,.543,1.6,3.9,.404,8.3,14.2,.582,4.6,5.6,.829,3.2,7.6,10.9,4.5,1.5,1.2,3.5,6.5,25.9,,119,117
534,Peyton Watson,SF,21,DEN,76,4,1395,7.1,15.4,.466,1.6,5.4,.295,5.6,9.9,.558,2.5,3.7,.676,1.9,6.7,8.6,2.8,1.5,2.9,2.0,4.9,18.4,,109,114
535,Victor Wembanyama,C,20,SAS,68,68,1996,12.5,26.9,.463,2.8,8.8,.322,9.6,18.1,.533,6.8,8.5,.796,3.8,13.5,17.3,6.2,2.1,5.7,5.8,3.6,34.6,,105,108
536,Blake Wesley,SG,20,SAS,56,1,761,5.4,11.5,.467,0.5,2.9,.174,4.9,8.6,.566,2.8,4.4,.643,1.0,3.9,4.9,9.7,1.6,0.6,2.9,5.0,14.1,,111,120
537,Russell Westbrook,PG,35,LAC,65,10,1455,10.0,21.8,.457,1.4,5.1,.270,8.6,16.7,.513,3.7,5.4,.692,3.1,8.0,11.1,9.8,2.4,0.8,4.7,3.9,25.0,,108,115
538,Coby White,PG,23,CHI,74,73,2694,9.4,21.1,.444,3.8,9.9,.381,5.6,11.2,.499,3.9,4.6,.842,0.8,5.7,6.4,7.1,0.9,0.3,2.9,3.3,26.4,,115,121
539,Derrick White,SG,29,BOS,70,70,2290,8.2,17.6,.466,4.1,10.3,.402,4.1,7.3,.556,2.9,3.3,.900,1.1,5.5,6.6,7.9,1.5,1.9,2.3,3.2,23.5,,128,113
