Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
346,Josh Minott,SF,21,MIN,28,0,81,8.7,19.2,.452,1.9,5.6,.333,6.8,13.6,.500,7.4,8.7,.857,2.5,8.0,10.5,4.3,3.1,3.1,1.2,6.2,26.6,,126,104
347,Davion Mitchell,PG,25,SAC,67,4,983,6.5,13.9,.466,2.4,6.8,.358,4.0,7.1,.570,1.2,1.7,.686,0.9,3.4,4.3,5.9,0.8,0.1,1.9,4.0,16.6,,116,121
348,Donovan Mitchell,SG,27,CLE,53,53,1871,13.0,28.1,.461,4.7,12.7,.365,8.3,15.4,.541,7.1,8.2,.863,1.2,6.2,7.3,8.6,2.5,0.8,4.0,3.1,37.7,,117,113
349,Evan Mobley,PF,22,CLE,46,46,1415,10.6,18.0,.588,0.7,1.8,.392,9.8,16.1,.610,4.0,5.7,.711,3.7,11.9,15.6,5.3,1.5,2.4,3.0,4.5,25.8,,123,110
350,Isaiah Mobley,PF,24,CLE,8,0,54,4.7,12.1,.385,1.9,6.5,.286,2.8,5.6,.500,0.0,0.0,,0.0,5.6,5.6,5.6,0.9,0.0,0.9,4.7,11.2,,106,118
351,Malik Monk,SG,25,SAC,72,0,1872,10.4,23.4,.443,3.9,11.1,.350,6.5,12.3,.528,4.4,5.4,.829,0.7,4.8,5.5,9.7,1.2,1.0,3.9,4.1,29.0,,114,119
352,Moses Moody,SG,21,GSW,61,9,1071,8.4,18.0,.467,3.1,8.6,.358,5.3,9.4,.567,3.1,3.9,.800,2.9,5.6,8.4,2.3,1.8,1.1,1.8,3.7,23.0,,120,118
353,Xavier Moon,SG,29,LAC,10,0,39,6.4,19.3,.333,0.0,6.4,.000,6.4,12.9,.500,1.3,2.6,.500,3.9,3.9,7.7,9.0,1.3,1.3,5.1,5.1,14.2,,84,120
354,Taze Moore,SG,25,POR,3,0,10,14.9,24.8,.600,0.0,9.9,.000,14.9,14.9,1.000,0.0,0.0,,0.0,0.0,0.0,5.0,5.0,0.0,5.0,9.9,29.8,,101,115
355,Wendell Moore Jr.,SG,22,MIN,21,0,65,5.4,10.8,.500,0.0,3.1,.000,5.4,7.7,.700,0.0,0.0,,0.0,7.7,7.7,3.9,3.9,0.8,2.3,3.1,10.8,,94,105
356,Ja Morant,PG,24,MEM,9,9,318,12.5,26.5,.471,2.2,8.0,.275,10.3,18.6,.555,8.1,10.0,.813,0.9,6.9,7.8,11.4,1.1,0.8,4.2,3.0,35.3,,116,118
357,Marcus Morris,PF,34,TOT,47,7,786,7.1,16.1,.441,3.0,7.3,.409,4.1,8.8,.468,2.3,2.8,.818,1.4,6.9,8.3,2.3,1.0,0.8,1.8,4.4,19.5,,111,118
358,Markieff Morris,PF,34,DAL,22,1,173,5.6,15.1,.370,3.6,9.5,.382,2.0,5.6,.350,0.8,1.1,.750,1.1,7.6,8.7,3.4,1.4,0.3,2.8,3.1,15.7,,97,117
359,Monte Morris,PG,28,TOT,28,0,423,6.7,16.2,.416,2.7,7.2,.377,4.0,9.0,.447,1.5,2.2,.684,0.8,4.8,5.7,7.4,2.1,0.8,0.7,1.4,17.7,,121,112
360,Trey Murphy III,SF,23,NOP,52,19,1495,8.0,18.4,.436,4.8,13.1,.369,3.2,5.3,.602,3.4,4.3,.794,1.3,7.0,8.3,3.7,1.5,0.9,1.0,2.1,24.3,,125,114
361,Dejounte Murray,SG,27,ATL,75,75,2673,11.7,25.5,.459,3.5,9.7,.364,8.2,15.8,.517,3.7,4.6,.798,1.0,6.2,7.2,8.8,1.9,0.4,3.5,2.4,30.6,,115,121
362,Jamal Murray,PG,26,DEN,55,55,1754,12.5,26.4,.475,3.7,8.9,.420,8.8,17.5,.503,4.3,5.0,.856,1.1,5.4,6.5,10.6,1.5,1.0,3.4,2.9,33.1,,120,117
363,Keegan Murray,SF,23,SAC,72,72,2407,8.4,18.2,.460,3.4,9.4,.357,5.0,8.8,.569,1.9,2.4,.819,2.0,5.9,7.9,2.5,1.5,1.1,1.3,4.0,22.1,,117,117
364,Kris Murray,SF,23,POR,57,24,1155,5.4,13.4,.405,1.7,6.5,.263,3.7,6.8,.541,1.2,1.9,.600,2.8,5.1,7.9,3.1,2.1,0.7,2.0,3.3,13.7,,102,118
365,Mike Muscala,C,32,TOT,49,6,562,4.7,12.8,.367,2.4,8.0,.298,2.3,4.8,.482,1.4,2.1,.680,3.0,6.8,9.8,2.9,0.8,1.1,1.6,4.0,13.2,,104,121
366,Svi Mykhailiuk,SF,26,BOS,36,0,311,6.1,16.0,.380,4.6,13.1,.354,1.4,2.9,.500,0.6,1.1,.571,1.4,4.6,6.1,4.0,1.6,0.0,1.4,2.1,17.4,,113,115
367,Larry Nance Jr.,C,31,NOP,58,0,1134,5.7,9.8,.578,1.1,2.6,.433,4.5,7.2,.630,1.7,2.4,.741,3.8,8.8,12.6,4.4,2.4,0.8,2.0,4.0,14.2,,131,111
368,Pete Nance,PF,23,CLE,6,0,14,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,0.0,7.2,.000,0.0,7.2,7.2,0.0,0.0,0.0,3.6,3.6,0.0,,0,119
369,Andrew Nembhard,PG,24,IND,64,43,1587,7.4,14.9,.495,1.7,4.8,.356,5.6,10.1,.561,1.2,1.5,.804,1.1,2.9,4.0,7.8,1.8,0.2,2.9,3.9,17.7,,114,122
370,Aaron Nesmith,SF,24,IND,68,43,1876,7.6,15.3,.495,3.5,8.2,.429,4.1,7.2,.571,2.4,3.1,.758,1.5,5.0,6.5,2.6,1.6,1.2,1.5,5.8,21.1,,123,120
371,Georges Niang,PF,30,CLE,78,10,1750,7.8,17.4,.451,4.1,10.8,.374,3.8,6.6,.579,1.4,1.7,.862,0.6,7.1,7.7,2.7,0.8,0.5,2.0,5.3,21.2,,110,117
372,Daishen Nix,PG,21,MIN,13,0,46,8.7,24.0,.364,5.5,16.4,.333,3.3,7.6,.429,1.1,4.4,.250,0.0,2.2,2.2,5.5,5.5,0.0,3.3,1.1,24.0,,91,106
373,Zeke Nnaji,PF,23,DEN,54,0,536,6.0,13.1,.453,0.6,2.1,.273,5.4,11.1,.487,4.0,5.6,.712,5.5,5.6,11.1,2.9,1.3,3.5,2.6,7.1,16.4,,113,114
