PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
Kelly Olynyk,TOR,77,31,46,22.4,9.7,47.4,27.3,1.8,2.26,0.84,0.205,1.4,0.6,2.4,0.582,0.837,1.021
Kelly Oubre Jr.,PHI,67,39,28,30.3,15.5,40.0,24.6,1.5,2.31,1.56,0.388,0.7,0.0,2.6,0.612,0.000,1.121
Kendall Brown,IND,15,10,5,4.2,1.4,5.1,3.1,0.1,1.64,1.04,0.276,0.0,0.0,0.3,0.000,0.000,2.000
Kenneth Lofton Jr.,UTA,21,7,14,9.4,4.6,14.3,10.3,0.6,2.37,1.26,0.320,1.4,0.8,1.3,0.586,0.438,0.643
Kenrich Williams,OKC,69,49,20,14.9,4.7,19.4,11.3,0.6,1.73,0.96,0.243,0.5,0.0,1.8,0.353,0.000,0.746
Kentavious Caldwell-Pope,DEN,74,52,22,31.6,10.1,36.3,24.6,1.2,2.00,1.08,0.279,0.7,0.0,0.9,0.333,0.000,0.703
Keon Ellis,SAC,57,33,24,17.2,5.4,26.7,13.4,1.4,3.06,2.58,0.204,0.3,0.0,0.7,0.400,0.000,0.579
Keon Johnson,BKN,4,0,4,12.8,7.0,22.0,8.8,1.5,4.11,3.65,0.318,0.0,0.0,0.5,0.000,0.000,1.000
Kessler Edwards,SAC,54,32,22,5.1,1.7,6.8,4.0,0.2,1.58,0.64,0.255,0.1,0.0,0.4,0.667,0.000,0.762
Kevin Durant,PHX,74,44,30,37.2,26.9,71.0,42.7,4.1,3.47,2.41,0.378,1.9,2.9,1.5,0.786,0.447,1.109
Kevin Huerter,SAC,64,37,27,24.4,10.2,36.8,25.2,1.2,1.90,1.24,0.278,0.5,0.0,1.6,0.774,0.000,0.822
Kevin Knox II,DET,31,4,27,18.1,7.2,20.0,11.2,0.5,1.49,0.64,0.359,0.4,0.0,1.2,1.154,0.000,0.778
Kevin Love,MIA,55,31,24,16.8,8.8,36.8,19.5,1.0,1.65,0.44,0.240,0.4,0.8,1.9,0.250,0.545,1.019
Kevon Harris,ORL,2,1,1,3.0,2.0,4.0,1.5,0.3,5.23,5.25,0.500,0.0,0.0,0.5,0.000,0.000,0.000
Kevon Looney,GSW,74,43,31,16.1,4.5,28.8,18.0,0.8,1.58,0.55,0.157,1.5,0.2,3.8,0.631,0.000,0.753
Keyontae Johnson,OKC,9,7,2,7.4,1.2,8.9,4.6,0.4,2.60,1.58,0.138,0.2,0.0,0.7,1.000,0.000,0.667
Keyonte George,UTA,74,27,47,26.8,12.8,63.0,24.3,5.6,5.31,4.66,0.203,0.1,0.0,0.3,1.200,0.000,1.143
Khris Middleton,MIL,55,31,24,27.0,15.1,50.3,26.0,3.0,3.60,2.80,0.299,0.5,1.1,1.0,0.440,0.712,0.907
Killian Hayes,DET,42,7,35,24.0,6.9,48.5,18.6,3.6,4.40,4.01,0.142,0.2,0.0,0.5,0.444,0.500,0.632
Kira Lewis Jr.,UTA,27,10,17,9.6,3.2,18.6,7.7,1.2,3.77,3.40,0.173,0.2,0.0,0.3,1.000,0.000,1.222
Klay Thompson,GSW,76,41,35,29.7,17.7,39.0,28.5,1.4,2.16,1.36,0.455,0.7,0.2,1.1,0.654,0.667,0.871
Kobe Brown,LAC,43,26,17,9.2,2.1,12.1,5.8,0.4,1.81,0.92,0.171,0.3,0.1,0.7,0.636,0.000,0.655
Kobe Bufkin,ATL,17,8,9,11.5,4.8,24.4,9.7,2.0,5.03,5.02,0.196,0.1,0.0,0.2,0.000,0.000,0.667
Kobi Simmons,TOR,4,0,4,16.9,5.0,35.3,15.0,2.4,4.17,3.57,0.142,0.3,0.0,0.3,0.000,0.000,0.000
Kris Dunn,UTA,65,25,40,19.0,5.5,40.3,15.6,2.7,4.01,3.32,0.136,0.4,0.0,0.6,0.240,0.000,0.475
Kris Murray,POR,61,11,50,21.7,6.1,25.1,15.0,0.9,2.13,1.34,0.242,0.5,0.0,1.7,0.276,0.000,0.772
Kristaps Porzingis,BOS,57,43,14,29.6,20.1,46.9,31.7,1.3,1.64,0.48,0.428,3.2,3.5,6.4,0.914,1.005,1.066
Kyle Anderson,MIN,79,55,24,22.6,6.4,39.7,22.9,2.1,3.10,2.11,0.161,1.7,0.2,2.1,0.371,0.889,0.617
Kyle Kuzma,WAS,70,13,57,32.6,22.2,57.9,35.0,3.2,3.32,2.30,0.383,1.5,0.7,2.2,0.852,0.686,1.032
Kyle Lowry,PHI,59,31,28,28.2,8.3,56.2,25.2,3.2,3.45,2.80,0.147,0.3,0.1,0.9,0.389,0.000,0.549
Kyrie Irving,DAL,57,38,19,35.1,25.7,70.7,30.4,4.9,4.12,3.56,0.364,1.0,0.1,1.4,0.966,0.857,0.913
LaMelo Ball,CHA,22,7,15,32.3,23.9,83.8,29.2,7.3,5.22,5.21,0.285,0.5,0.0,1.6,0.545,0.000,0.829
Lamar Stevens,MEM,38,22,16,14.7,7.2,22.9,11.9,1.0,2.71,1.79,0.313,0.9,0.3,1.6,0.818,0.750,0.767
Landry Shamet,WAS,46,6,40,15.8,7.1,21.9,13.1,0.9,2.45,1.99,0.324,0.3,0.0,0.5,0.714,0.000,0.727
Larry Nance Jr.,NOP,61,34,27,19.9,5.7,29.7,18.4,0.9,1.83,0.85,0.193,2.7,0.2,3.7,0.289,0.857,0.769
Lauri Markkanen,UTA,55,22,33,33.1,23.2,50.7,31.0,1.6,1.84,0.82,0.459,1.9,1.1,4.7,0.885,0.508,1.171
LeBron James,LAL,70,40,30,35.4,25.6,76.9,35.2,5.2,4.07,3.33,0.333,1.6,2.7,2.2,0.873,0.526,1.013
Leaky Black,CHA,26,2,24,10.9,2.7,13.3,7.8,0.4,1.73,0.81,0.200,0.1,0.0,0.7,0.000,0.000,1.158
Leonard Miller,MIN,17,13,4,3.1,1.7,5.9,2.7,0.2,2.34,1.25,0.287,0.1,0.0,0.8,2.000,0.000,1.000
Lester Quinones,GSW,36,24,12,10.7,4.5,17.9,9.7,1.0,3.46,2.99,0.251,0.3,0.0,0.6,0.222,0.000,0.810
Lindell Wigginton,MIL,3,3,0,2.5,2.0,4.7,3.0,0.4,5.47,4.72,0.429,0.0,0.0,0.0,0.000,0.000,0.000
Lindy Waters III,OKC,38,25,13,7.4,3.6,11.1,6.6,0.5,2.66,1.99,0.326,0.0,0.0,0.3,0.000,0.000,0.400
Lonnie Walker IV,BKN,57,23,34,17.2,9.7,24.0,14.3,1.4,3.49,2.99,0.404,0.2,0.0,0.4,0.889,0.000,1.043
Luguentz Dort,OKC,79,54,25,28.4,10.9,27.5,17.3,1.1,2.33,1.72,0.395,0.3,0.0,1.6,1.000,2.000,0.643
Luka Doncic,DAL,69,45,24,37.5,33.8,91.8,35.8,8.3,5.46,4.81,0.368,0.8,2.1,1.1,0.679,0.547,0.759
Luka Garza,MIN,25,17,8,4.9,4.0,8.5,5.5,0.2,1.48,0.56,0.465,0.4,0.2,1.5,0.444,0.333,0.868
Luka Samanic,UTA,42,15,27,9.3,4.0,13.3,7.4,0.4,1.73,0.93,0.305,0.4,0.5,1.3,1.176,0.682,0.778
Luke Kennard,MEM,39,15,24,25.6,11.0,42.4,27.1,2.0,2.82,1.99,0.260,0.2,0.0,0.1,0.857,0.000,1.500
Luke Kornet,BOS,62,47,15,15.5,5.2,16.9,11.5,0.4,1.37,0.26,0.306,1.0,0.1,4.8,0.339,0.286,0.923
Malachi Flynn,DET,68,28,40,12.9,5.6,28.8,12.0,2.2,4.62,4.25,0.193,0.1,0.0,0.2,0.800,0.000,0.375
Malaki Branham,SAS,74,17,57,21.2,9.1,34.2,18.2,1.8,3.18,2.52,0.265,0.5,0.0,0.7,1.029,0.000,1.019
Malcolm Brogdon,POR,39,15,24,28.7,15.7,59.3,25.1,4.7,4.78,4.95,0.265,0.2,0.1,0.7,0.667,0.800,0.889
Malcolm Cazalon,DET,1,0,1,2.6,0.0,1.0,0.0,0.0,1.20,0.00,0.000,0.0,0.0,0.0,0.000,0.000,0.000
Malik Beasley,MIL,79,46,33,29.6,11.3,31.2,18.6,1.0,1.93,1.24,0.361,0.2,0.0,0.5,0.353,0.000,0.700
Malik Monk,SAC,72,42,30,26.0,15.4,52.8,30.6,3.0,3.45,3.02,0.292,0.3,0.0,0.9,0.778,0.000,1.000
Malik Williams,TOR,7,2,5,15.2,2.7,20.4,12.4,0.5,1.59,0.36,0.133,1.9,0.1,3.7,0.154,0.000,0.385
Mamadi Diakite,NYK,6,5,1,4.1,2.0,6.7,4.2,0.2,1.79,0.80,0.300,0.5,0.2,0.8,1.333,1.000,1.200
Maozinha Pereira,MEM,7,2,5,17.4,6.9,22.4,11.6,0.5,1.38,0.64,0.306,0.7,0.0,2.9,0.800,0.000,1.350
MarJon Beauchamp,MIL,48,30,18,12.7,4.4,12.7,7.7,0.5,2.31,1.86,0.345,0.1,0.0,0.6,1.200,0.000,0.867
Marcus Morris Sr.,CLE,49,26,23,16.7,6.4,20.8,12.7,0.7,2.07,1.03,0.310,0.4,0.5,0.8,0.619,0.885,0.795
Marcus Sasser,DET,70,11,59,19.0,8.2,38.4,16.0,3.2,4.96,4.99,0.214,0.1,0.0,0.2,0.000,0.000,0.727
Marcus Smart,MEM,20,7,13,30.2,14.5,52.4,23.8,3.8,4.30,3.52,0.276,0.8,1.0,1.0,0.250,0.632,0.632
Mark Williams,CHA,19,7,12,26.8,12.7,33.2,17.6,0.8,1.37,0.28,0.384,3.2,0.4,9.4,0.567,1.000,1.084
Markelle Fultz,ORL,43,25,18,21.2,7.8,39.8,16.3,3.0,4.49,4.20,0.196,0.7,0.6,2.2,0.567,0.593,0.611
Markieff Morris,DAL,25,14,11,8.5,2.4,11.6,6.8,0.3,1.73,0.68,0.207,0.3,0.2,0.3,0.286,0.250,0.250
Markquis Nowell,TOR,1,0,1,3.5,2.0,9.0,5.0,0.6,3.93,4.78,0.222,0.0,0.0,0.0,0.000,0.000,0.000
Marques Bolden,CHA,11,5,6,11.0,3.4,13.0,6.4,0.3,1.45,0.39,0.259,0.5,0.3,2.8,0.333,1.333,1.129
Marvin Bagley III,WAS,50,7,43,21.1,11.7,33.1,19.0,0.9,1.62,0.64,0.352,2.5,0.7,5.8,0.789,0.676,1.096
Mason Jones,SAC,5,3,2,5.5,1.4,13.6,6.2,0.8,3.59,3.18,0.103,0.0,0.0,0.2,0.000,0.000,0.000
Mason Plumlee,LAC,46,29,17,14.7,5.3,24.8,12.1,0.8,1.88,0.72,0.214,1.7,0.3,4.0,0.425,0.857,0.896
Matisse Thybulle,POR,64,17,47,22.7,5.3,26.8,14.7,0.8,1.75,1.00,0.199,0.3,0.0,0.5,0.200,0.000,0.581
Matt Hurt,MEM,8,2,6,14.2,4.0,16.8,10.6,0.4,1.51,0.60,0.239,0.5,0.0,0.8,0.500,0.000,0.667
Matt Ryan,NOP,28,14,14,13.9,5.4,16.8,10.8,0.5,1.70,0.76,0.324,0.2,0.0,0.3,0.400,0.000,0.750
Max Christie,LAL,66,37,29,14.0,4.2,17.6,7.9,0.9,2.92,2.34,0.240,0.1,0.0,0.3,0.857,0.000,1.190
Max Strus,CLE,70,43,27,32.0,12.2,55.1,34.1,1.8,1.92,1.27,0.221,0.6,0.0,1.5,0.800,0.000,0.972
Maxi Kleber,DAL,42,26,16,20.3,4.5,23.8,14.5,0.6,1.41,0.37,0.191,0.7,0.1,1.8,0.226,0.500,0.527
Maxwell Lewis,LAL,33,17,16,2.9,0.2,2.7,1.6,0.1,2.69,2.09,0.091,0.0,0.0,0.0,0.000,0.000,0.000
Micah Potter,UTA,16,3,13,11.6,3.3,13.1,6.4,0.3,1.48,0.37,0.252,0.1,0.3,1.3,1.000,0.400,0.850
Michael Porter Jr.,DEN,79,55,24,31.7,16.7,41.6,26.3,1.4,1.99,0.97,0.403,1.3,0.1,2.5,0.631,0.500,1.077
Mikal Bridges,BKN,79,32,47,34.9,19.8,57.7,36.9,2.8,2.93,2.35,0.344,0.8,0.4,1.3,0.727,0.294,0.748
Mike Conley,MIN,76,53,23,28.9,11.4,66.5,29.2,4.9,4.41,4.10,0.172,0.2,0.0,0.3,0.667,0.000,0.346
Mike Muscala,OKC,53,17,36,11.3,3.0,16.4,9.5,0.4,1.30,0.36,0.180,0.8,0.1,1.5,0.465,0.333,0.584
Miles Bridges,CHA,68,16,52,37.4,21.0,65.5,37.5,2.7,2.44,1.56,0.320,0.9,0.8,2.3,0.629,0.273,1.182
Miles McBride,NYK,68,42,26,19.5,8.3,32.7,15.2,2.3,4.24,4.19,0.252,0.2,0.0,0.5,0.313,0.000,0.419
Mitchell Robinson,NYK,31,19,12,24.8,5.6,26.1,13.7,0.6,1.31,0.26,0.214,0.7,0.2,7.1,0.174,0.667,0.729
Mo Bamba,PHI,56,29,27,12.9,4.4,19.8,11.4,0.5,1.62,0.39,0.225,0.9,0.2,2.7,0.538,0.000,0.836
Monte Morris,MIN,33,21,12,14.4,5.0,28.3,12.2,2.0,4.25,3.83,0.175,0.2,0.0,0.2,0.333,0.000,0.400
Moritz Wagner,ORL,80,46,34,17.7,10.9,28.6,19.7,0.8,1.73,0.73,0.379,2.7,0.4,4.4,0.749,0.629,1.055
Moses Brown,POR,22,4,18,9.1,3.4,14.7,7.5,0.4,1.58,0.37,0.232,0.9,0.2,3.8,0.550,0.600,0.699
Moses Moody,GSW,65,38,27,17.4,8.1,20.2,13.9,0.8,2.25,1.49,0.398,0.4,0.0,1.5,0.458,0.000,1.030
Mouhamadou Gueye,TOR,11,0,11,10.9,2.4,16.9,11.7,0.6,1.96,0.90,0.140,2.1,0.0,2.7,0.565,0.000,0.400
Mouhamed Gueye,ATL,6,2,4,12.1,4.0,20.8,10.7,0.5,1.42,0.39,0.192,1.0,0.0,2.3,0.833,0.000,0.571
Moussa Diabate,LAC,11,7,4,5.8,2.6,8.5,4.7,0.2,1.63,0.56,0.312,0.4,0.2,2.3,1.000,0.000,0.880
Myles Turner,IND,77,45,32,27.0,17.1,36.8,27.4,0.9,1.48,0.54,0.463,3.4,1.3,5.7,0.913,0.778,1.104
Naji Marshall,NOP,65,41,24,19.2,7.1,32.4,15.5,1.5,2.71,2.27,0.219,0.5,0.0,1.2,0.677,0.000,0.600
Nassir Little,PHX,45,28,17,10.2,3.4,12.3,6.8,0.4,1.86,1.05,0.275,0.2,0.0,0.4,0.750,0.000,0.941
Nate Hinton,HOU,15,8,7,5.0,2.2,8.7,3.7,0.4,3.09,2.78,0.254,0.1,0.0,0.4,0.000,0.000,0.167
Nate Williams,HOU,22,11,11,5.9,2.9,7.3,4.2,0.3,2.65,1.76,0.394,0.2,0.0,0.6,0.500,0.000,1.357
Nathan Mensah,CHA,25,3,22,12.3,1.3,7.8,3.9,0.2,1.39,0.40,0.170,0.5,0.0,1.8,0.462,0.000,0.457
Naz Reid,MIN,81,56,25,24.2,13.5,39.7,23.0,1.2,1.74,0.96,0.339,0.9,1.4,1.8,0.622,0.430,0.883
Neemias Queta,BOS,28,24,4,11.9,5.5,13.9,8.9,0.3,1.48,0.34,0.397,1.0,0.4,4.3,0.750,0.800,1.074
Nic Claxton,BKN,68,27,41,29.9,11.9,45.1,27.5,1.5,1.98,0.79,0.264,3.4,0.6,9.0,0.421,0.875,0.954
Nick Richards,CHA,66,13,53,26.2,9.7,28.0,14.0,0.7,1.42,0.33,0.345,1.8,0.2,6.4,0.619,1.143,1.107
Nick Smith Jr.,CHA,50,8,42,14.2,6.0,23.4,12.2,1.5,3.95,3.35,0.255,0.1,0.0,0.3,0.800,0.000,0.615
Nickeil Alexander-Walker,MIN,82,56,26,23.4,8.0,39.1,16.9,2.3,3.49,2.90,0.204,0.2,0.0,0.5,0.278,0.000,0.610
Nicolas Batum,PHI,59,35,24,25.6,5.4,31.6,18.5,0.8,1.45,0.54,0.172,1.1,0.0,1.8,0.172,1.500,0.661
Nikola Jokic,DEN,77,53,24,34.7,26.3,101.1,55.4,4.8,2.83,1.53,0.261,11.0,8.3,8.2,0.582,0.590,0.983
Nikola Jovic,MIA,46,24,22,19.5,7.7,31.4,16.3,1.3,2.50,1.52,0.244,0.3,0.3,1.1,0.733,0.000,0.673
Nikola Vucevic,CHI,75,36,39,34.3,18.0,63.9,46.9,1.5,1.42,0.52,0.281,6.0,3.8,7.9,0.518,0.505,0.732
Noah Clowney,BKN,22,10,12,14.9,5.3,19.4,11.8,0.5,1.56,0.56,0.274,1.2,0.2,2.3,0.333,0.000,1.080
Norman Powell,LAC,75,47,28,26.2,13.8,27.3,17.5,1.2,2.55,2.00,0.507,0.3,0.0,0.5,0.708,0.000,1.077
OG Anunoby,NYK,50,31,19,34.0,14.7,40.9,29.5,1.3,1.89,1.10,0.358,0.8,0.3,2.4,0.951,0.286,0.958
Obi Toppin,IND,82,47,35,21.1,10.3,32.4,18.6,0.8,1.49,0.69,0.317,0.5,0.2,2.8,0.881,0.462,1.190
Ochai Agbaji,TOR,77,31,46,21.0,5.8,23.3,13.8,0.6,1.59,0.81,0.250,0.4,0.0,1.8,0.500,3.000,0.691
Olivier Sarr,OKC,15,8,7,6.5,2.3,9.4,4.6,0.2,1.15,0.26,0.241,0.4,0.0,1.7,0.000,0.000,1.000
Olivier-Maxence Prosper,DAL,40,24,16,8.4,3.0,10.2,5.0,0.5,2.68,2.04,0.297,0.3,0.0,0.7,0.769,0.000,0.630
Omer Yurtseven,UTA,47,17,30,11.5,4.7,19.3,10.8,0.5,1.50,0.34,0.244,1.2,0.4,4.1,0.527,0.762,0.897
Onuralp Bitim,CHI,22,11,11,11.7,3.4,14.1,8.9,0.4,1.77,1.01,0.239,0.3,0.0,0.3,0.667,0.000,0.857
Onyeka Okongwu,ATL,55,23,32,25.5,10.2,28.5,19.4,0.6,1.21,0.34,0.358,1.8,0.2,6.1,0.653,1.083,1.027
Orlando Robinson,MIA,36,20,16,8.4,2.8,13.5,8.2,0.5,2.06,0.85,0.204,0.7,0.4,1.8,0.346,0.333,0.571
Oscar Tshiebwe,IND,8,2,6,5.2,3.3,6.6,4.4,0.2,1.46,0.36,0.491,0.5,0.3,2.5,1.000,1.000,0.900
Oshae Brissett,BOS,55,46,9,11.5,3.7,15.6,7.1,0.5,2.05,1.13,0.235,0.3,0.0,1.6,0.667,1.000,0.573
Otto Porter Jr.,TOR,15,6,9,11.6,2.6,14.0,7.5,0.3,1.48,0.31,0.186,0.2,0.0,0.6,1.333,0.000,0.667
Ousmane Dieng,OKC,33,21,12,11.1,4.0,14.8,10.2,0.5,2.06,1.22,0.271,0.5,0.0,1.0,0.556,0.000,0.906
P.J. Tucker,LAC,31,13,18,15.7,1.7,13.4,6.1,0.3,1.40,0.45,0.125,0.3,0.0,1.2,0.200,0.000,0.162
P.J. Washington,DAL,72,29,43,30.4,12.9,46.0,23.9,1.3,1.66,0.80,0.281,1.4,0.4,2.5,0.534,0.448,1.073
Paolo Banchero,ORL,80,46,34,35.0,22.6,76.4,37.3,5.5,4.31,3.48,0.295,1.5,2.2,2.3,0.725,0.483,1.000
Pascal Siakam,IND,80,38,42,33.2,21.7,58.3,35.6,2.6,2.68,2.07,0.372,1.4,2.1,4.2,0.730,0.635,1.189
Pat Connaughton,MIL,76,45,31,22.1,5.6,31.6,16.3,1.2,2.27,1.55,0.178,0.3,0.0,1.0,0.043,0.000,0.753
Pat Spencer,GSW,5,4,1,4.8,0.8,8.2,4.8,0.3,2.53,1.73,0.098,0.4,0.0,0.2,0.000,0.000,2.000
Patrick Baldwin Jr.,WAS,38,6,32,13.0,4.4,18.3,9.2,0.5,1.49,0.56,0.242,0.3,0.1,0.8,1.583,0.000,0.733
Patrick Beverley,MIL,73,43,30,20.0,6.2,40.5,17.3,2.9,4.29,3.80,0.153,0.2,0.0,0.5,0.000,0.000,0.378
Patrick Williams,CHI,43,19,24,27.3,10.0,38.3,20.5,1.2,1.87,1.35,0.260,0.3,0.0,1.4,0.333,0.000,0.738
Patty Mills,MIA,32,15,17,13.0,4.0,16.1,10.8,0.6,2.22,2.12,0.247,0.1,0.0,0.3,0.667,0.000,0.750
Paul George,LAC,73,47,26,33.7,22.6,56.8,30.0,3.3,3.53,2.78,0.397,1.2,1.0,1.5,0.697,0.690,0.847
Paul Reed,PHI,81,46,35,19.3,7.2,28.0,16.5,0.8,1.67,0.69,0.259,2.0,0.1,4.2,0.646,0.167,0.751
Payton Pritchard,BOS,81,63,18,22.3,9.6,41.5,16.6,3.0,4.34,4.32,0.231,0.3,0.0,0.9,0.741,0.000,0.493
Pete Nance,CLE,8,3,5,3.4,0.4,3.5,2.1,0.1,1.85,0.93,0.107,0.0,0.4,0.0,0.000,0.000,0.000
Peyton Watson,DEN,78,54,24,18.5,6.6,26.7,12.8,1.1,2.43,1.43,0.246,0.7,0.0,1.6,0.647,0.000,0.875
Precious Achiuwa,NYK,74,40,34,21.9,7.6,32.9,19.6,1.0,1.82,0.82,0.232,1.5,0.1,4.2,0.370,0.400,0.820
Quentin Grimes,DET,51,32,19,20.1,7.0,24.2,17.4,0.8,1.98,1.26,0.290,0.2,0.0,0.2,0.833,0.000,0.000
Quenton Jackson,IND,3,3,0,3.5,0.7,7.7,2.3,0.6,4.82,4.22,0.087,0.0,0.0,0.0,0.000,0.000,0.000
R.J. Hampton,MIA,8,3,5,9.5,1.3,14.1,7.1,0.7,3.18,2.58,0.088,0.0,0.0,0.4,0.000,0.000,0.000
RJ Barrett,TOR,58,26,32,31.7,20.2,53.0,32.3,2.4,2.72,2.10,0.381,0.9,0.6,2.2,1.000,0.531,1.131
RaiQuan Gray,SAS,3,2,1,13.0,7.7,20.3,14.3,0.7,2.06,1.57,0.377,1.7,0.7,1.3,0.400,1.000,0.500
Rayan Rupert,POR,38,6,32,16.3,4.1,23.5,13.9,0.8,2.15,1.64,0.174,0.2,0.0,0.6,0.333,0.000,0.591
Reggie Bullock Jr.,HOU,44,24,20,9.5,2.2,10.7,5.5,0.3,1.63,0.54,0.204,0.1,0.0,0.0,0.000,0.000,0.000
Reggie Jackson,DEN,80,55,25,22.4,10.2,46.1,19.8,3.7,4.79,4.25,0.222,0.4,0.0,0.8,0.667,0.000,0.787
Richaun Holmes,WAS,40,13,27,13.9,5.0,18.3,11.0,0.5,1.57,0.37,0.271,1.5,0.2,3.7,0.534,1.333,0.952
Ricky Council IV,PHI,31,14,17,9.1,5.5,11.4,6.9,0.4,2.09,1.46,0.480,0.1,0.0,0.8,0.750,0.000,0.920
Robert Covington,PHI,29,20,9,16.8,4.4,21.7,9.9,0.6,1.72,0.61,0.202,0.4,0.0,1.4,0.182,0.000,0.775
Robert Williams III,POR,6,2,4,19.8,6.8,21.8,12.5,0.5,1.33,0.29,0.313,2.2,0.0,4.7,0.615,0.000,1.036
Robin Lopez,MIL,16,10,6,4.0,1.1,4.4,3.9,0.1,1.74,0.66,0.254,0.8,0.3,0.8,0.000,1.000,0.667
Ron Harper Jr.,TOR,1,1,0,3.7,0.0,4.0,4.0,0.2,2.97,3.25,0.000,0.0,0.0,0.0,0.000,0.000,0.000
Royce O'Neale,PHX,77,38,39,24.6,7.7,43.8,21.3,1.4,1.87,1.03,0.176,0.4,0.0,0.8,0.214,0.000,0.609
Rudy Gobert,MIN,76,53,23,34.1,14.0,45.9,24.8,1.1,1.47,0.34,0.304,3.4,1.4,10.7,0.541,0.769,1.011
Rui Hachimura,LAL,67,39,28,26.9,13.6,32.3,18.6,1.0,1.87,0.96,0.421,0.8,1.3,3.0,0.893,0.534,1.081
Russell Westbrook,LAC,68,45,23,22.5,11.1,44.7,17.1,3.3,4.41,3.95,0.248,0.8,0.4,2.4,0.556,0.444,0.838
Ryan Arcidiacono,NYK,20,15,5,2.3,0.0,3.0,1.5,0.1,2.50,1.83,0.000,0.1,0.0,0.1,0.000,0.000,0.000
Ryan Rollins,MIL,13,1,12,6.0,3.4,11.6,4.4,0.9,4.57,4.09,0.291,0.3,0.0,0.2,0.000,0.000,1.333
Saben Lee,PHX,23,15,8,7.9,3.0,15.1,6.0,1.1,4.33,4.09,0.202,0.2,0.0,0.6,0.400,0.000,0.857
Saddiq Bey,ATL,63,28,35,32.7,13.7,40.0,23.1,1.1,1.62,0.79,0.342,0.4,0.8,2.8,1.036,0.571,0.886
Sam Hauser,BOS,78,61,17,22.1,9.1,26.2,14.8,0.6,1.27,0.43,0.346,0.3,0.0,0.8,0.333,0.000,0.770
Sam Merrill,CLE,61,36,25,17.5,8.0,25.2,18.3,0.7,1.58,1.00,0.315,0.1,0.0,0.3,0.000,0.000,0.588
Sandro Mamukelashvili,SAS,45,11,34,9.9,4.2,16.8,8.9,0.5,1.93,1.16,0.251,0.5,0.1,1.3,0.652,0.400,0.633
Santi Aldama,MEM,61,23,38,26.5,10.7,44.2,25.4,1.6,2.21,1.31,0.243,1.5,0.1,2.3,0.280,0.250,0.884
Sasha Vezenkov,SAC,42,22,20,12.2,5.4,17.5,11.1,0.4,1.30,0.44,0.306,0.2,0.1,1.3,0.625,0.667,1.111
Scoot Henderson,POR,61,17,44,28.5,14.0,67.7,26.4,5.3,4.74,4.22,0.207,0.4,0.0,0.9,0.462,0.000,0.462
Scottie Barnes,TOR,60,22,38,34.9,19.9,75.1,38.7,3.6,2.90,2.28,0.264,2.2,1.7,4.4,0.600,0.423,0.943
Scotty Pippen Jr.,MEM,21,5,16,25.1,12.9,54.9,23.6,4.2,4.64,4.41,0.235,0.5,0.0,1.2,0.700,0.000,0.400
Seth Curry,CHA,44,25,19,14.0,5.1,19.8,11.0,1.0,3.12,2.51,0.260,0.2,0.0,0.3,0.667,0.000,0.733
Seth Lundy,ATL,9,2,7,5.8,1.6,5.9,3.2,0.2,1.68,0.78,0.264,0.0,0.0,0.2,0.000,0.000,0.000
Shaedon Sharpe,POR,32,8,24,33.1,15.9,48.8,26.4,3.0,3.66,3.02,0.327,0.8,0.1,1.4,0.815,0.000,0.864
Shai Gilgeous-Alexander,OKC,75,55,20,34.0,30.1,71.0,23.1,6.8,5.73,5.47,0.423,0.7,1.2,1.2,0.836,0.460,0.967
Shake Milton,NYK,48,32,16,12.1,4.5,20.8,10.8,1.2,3.53,2.91,0.217,0.2,0.0,0.5,0.455,0.000,0.792
Shaquille Harrison,MEM,3,1,2,2.0,0.7,3.3,1.0,0.2,4.41,4.00,0.200,0.0,0.0,0.0,0.000,0.000,0.000
Sidy Cissoko,SAS,12,5,7,11.7,3.8,13.9,7.9,0.4,1.82,1.04,0.269,0.5,0.0,1.3,1.167,0.000,0.688
Simone Fontecchio,DET,65,29,36,24.8,10.2,31.0,19.0,0.8,1.63,0.84,0.331,0.3,0.0,1.1,0.682,0.667,0.973
Skylar Mays,LAL,38,14,24,11.4,4.1,24.5,9.6,1.9,4.63,4.27,0.166,0.1,0.0,0.3,0.400,0.000,0.600
Spencer Dinwiddie,LAL,75,38,37,28.3,10.5,47.4,18.3,3.7,4.72,4.00,0.222,0.1,0.0,0.2,0.182,1.000,0.278
Stanley Umude,DET,23,4,19,12.8,5.4,11.0,7.0,0.3,1.57,0.74,0.488,0.1,0.0,0.2,0.667,0.000,0.500
Stephen Curry,GSW,74,43,31,32.7,26.4,68.4,27.1,5.1,4.43,4.42,0.386,0.6,0.0,1.0,0.800,0.000,1.041
Svi Mykhailiuk,BOS,41,32,9,10.1,4.0,12.3,7.4,0.4,1.85,0.93,0.321,0.1,0.0,0.3,1.500,0.000,0.846
T.J. McConnell,IND,71,40,31,18.2,10.2,52.4,18.8,4.1,4.73,4.67,0.195,0.6,0.0,0.8,0.600,0.000,0.593
