PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
Grant Williams,CHA,75,33,42,27.9,10.3,37.8,23.1,1.2,1.84,0.76,0.273,1.1,1.0,2.2,0.430,0.541,0.756
Grayson Allen,PHX,74,45,29,33.4,13.6,48.8,23.1,2.1,2.57,1.81,0.279,0.4,0.0,0.7,0.296,0.000,0.558
Greg Brown III,DAL,6,3,3,6.6,2.5,6.0,3.5,0.2,1.76,0.70,0.417,0.2,0.0,1.0,0.000,0.000,1.000
Gui Santos,GSW,22,17,5,8.5,3.7,11.2,6.9,0.4,1.95,1.18,0.333,0.4,0.0,1.3,0.500,0.000,0.931
Hamidou Diallo,WAS,2,1,1,2.4,1.0,5.0,3.0,0.3,3.20,2.40,0.200,0.0,0.0,1.0,0.000,0.000,1.000
Harrison Barnes,SAC,82,46,36,29.0,12.2,35.3,22.6,1.2,2.01,1.14,0.346,0.5,0.6,1.5,0.444,0.627,0.877
Harry Giles III,LAL,23,11,12,4.3,2.4,6.7,3.8,0.2,2.00,0.81,0.361,0.3,0.2,0.8,0.857,0.800,0.789
Haywood Highsmith,MIA,66,39,27,20.7,6.1,24.0,13.3,0.7,1.84,1.00,0.256,0.3,0.1,1.9,0.261,0.500,0.528
Henri Drell,CHI,4,2,2,7.5,2.8,10.8,5.3,0.3,1.94,1.00,0.256,0.0,0.0,0.3,0.000,0.000,2.000
Herbert Jones,NOP,75,46,29,30.6,11.0,43.1,23.0,1.8,2.52,1.53,0.256,0.5,0.0,1.4,0.550,0.000,0.750
Hunter Tyson,DEN,17,13,4,2.7,1.0,4.2,2.6,0.1,2.08,1.01,0.236,0.2,0.0,0.1,0.667,0.000,0.000
Ibou Badji,POR,22,5,17,10.3,1.5,10.5,5.4,0.3,1.53,0.22,0.147,1.1,0.0,1.6,0.167,0.000,0.600
Immanuel Quickley,TOR,67,28,39,29.0,16.8,60.0,24.8,4.8,4.84,4.47,0.280,0.3,0.0,0.4,0.263,0.000,0.862
Isaac Okoro,CLE,69,41,28,27.3,9.4,30.7,19.8,1.1,2.23,1.62,0.306,0.3,0.1,1.4,0.652,0.400,0.691
Isaiah Hartenstein,NYK,75,47,28,25.3,7.8,41.0,22.4,1.0,1.52,0.43,0.189,3.1,0.2,6.7,0.498,1.000,0.788
Isaiah Jackson,IND,60,37,23,12.8,6.4,15.9,10.3,0.3,1.31,0.47,0.402,1.4,0.4,4.4,0.624,0.652,1.008
Isaiah Joe,OKC,78,54,24,18.5,8.2,24.7,15.7,0.8,1.90,1.26,0.330,0.3,0.0,0.7,0.480,0.000,0.436
Isaiah Livers,DET,23,1,22,20.4,5.0,19.9,11.8,0.6,1.79,0.99,0.249,0.5,0.0,0.9,0.273,0.000,0.857
Isaiah Mobley,CLE,10,2,8,7.2,2.3,13.2,7.1,0.5,2.13,1.16,0.174,0.5,0.2,0.8,0.800,1.000,0.750
Isaiah Stewart,DET,45,9,36,30.9,11.1,36.5,21.7,1.0,1.61,0.72,0.303,1.3,1.4,4.6,0.644,0.477,0.876
Isaiah Thomas,PHX,6,4,2,3.2,1.3,8.0,3.8,0.5,4.10,4.08,0.167,0.2,0.0,0.0,0.000,0.000,0.000
Isaiah Wong,IND,1,1,0,4.3,2.0,11.0,7.0,0.9,4.94,4.09,0.182,0.0,0.0,0.0,0.000,0.000,0.000
Ish Smith,CHA,43,6,37,17.2,3.2,33.8,10.7,2.7,4.86,5.08,0.096,0.3,0.0,0.5,0.167,0.000,0.455
Ish Wainright,PHX,11,2,9,5.7,2.1,8.9,5.8,0.2,1.59,0.92,0.235,0.2,0.0,0.4,0.000,0.000,0.000
Ivica Zubac,LAC,67,41,26,26.4,11.6,42.8,20.4,1.0,1.38,0.41,0.271,3.8,1.5,8.6,0.545,0.969,0.990
Izaiah Brockington,NOP,1,1,0,3.4,4.0,9.0,3.0,0.7,4.86,4.44,0.444,0.0,0.0,1.0,0.000,0.000,0.000
JD Davison,BOS,7,7,0,5.5,2.3,12.3,4.3,1.1,5.42,5.47,0.186,0.3,0.0,0.4,1.000,0.000,1.333
JT Thor,CHA,62,15,47,12.4,3.1,16.4,8.5,0.4,1.47,0.54,0.191,0.2,0.0,1.0,1.077,0.000,0.714
Ja Morant,MEM,9,6,3,35.3,25.1,78.9,28.8,7.6,5.80,5.28,0.318,0.3,0.0,1.4,0.667,0.000,1.077
JaVale McGee,SAC,46,28,18,7.4,4.0,11.6,7.2,0.3,1.50,0.45,0.346,1.5,0.2,2.7,0.515,0.556,1.079
Jabari Smith Jr.,HOU,76,39,37,31.9,13.7,45.6,20.9,1.4,1.86,1.00,0.301,1.4,0.7,3.2,0.712,0.741,0.943
Jabari Walker,POR,72,18,54,23.6,8.9,29.1,16.4,0.9,1.83,0.79,0.305,1.3,0.1,3.5,0.516,0.222,0.928
Jack White,MEM,4,0,4,15.9,1.5,17.8,10.5,0.4,1.33,0.51,0.085,0.0,0.0,1.3,0.000,0.000,0.000
Jacob Gilyard,BKN,40,12,28,17.0,4.3,36.2,14.4,2.7,4.56,4.35,0.120,0.1,0.0,0.1,0.000,0.000,0.000
Jacob Toppin,NYK,9,2,7,4.2,1.4,6.7,3.7,0.2,1.94,1.07,0.217,0.0,0.0,0.4,0.000,0.000,1.500
Jaden Hardy,DAL,72,43,29,13.7,7.3,23.9,9.8,1.6,4.00,3.70,0.303,0.1,0.0,0.4,0.500,0.000,1.071
Jaden Ivey,DET,76,14,62,28.7,15.4,46.6,26.4,2.8,3.56,3.31,0.330,0.6,0.0,1.1,0.682,0.000,0.845
Jaden McDaniels,MIN,72,48,24,29.2,10.5,33.1,20.9,1.1,2.07,1.40,0.317,0.4,0.2,1.3,0.929,0.647,0.703
Jaden Springer,BOS,48,31,17,10.6,3.4,11.3,6.5,0.6,3.30,2.64,0.302,0.3,0.0,0.8,0.714,0.000,0.650
Jae Crowder,MIL,50,25,25,23.1,6.2,28.6,14.7,0.7,1.42,0.52,0.218,0.2,0.0,1.3,0.833,0.000,0.781
Jae'Sean Tate,HOU,65,32,33,15.9,4.1,18.0,8.8,0.7,2.24,1.46,0.226,0.4,0.4,1.2,0.259,0.577,0.568
Jahmi'us Ramsey,TOR,7,0,7,17.3,6.7,28.9,10.6,1.6,3.23,2.91,0.233,0.7,0.0,1.1,0.800,0.000,0.750
Jaime Jaquez Jr.,MIA,75,44,31,28.2,11.9,41.9,21.5,2.2,3.21,2.84,0.283,0.7,1.0,2.9,0.727,0.462,0.890
Jake LaRavia,MEM,35,8,27,23.0,10.8,34.9,22.2,1.4,2.40,1.81,0.310,0.5,0.0,1.8,0.526,0.000,0.730
Jakob Poeltl,TOR,50,21,29,26.4,11.1,48.0,25.8,1.1,1.40,0.28,0.231,6.4,1.0,8.7,0.470,0.620,0.849
Jalen Brunson,NYK,77,49,28,35.4,28.7,88.0,34.3,8.6,5.86,5.57,0.326,0.5,0.6,0.4,0.514,0.432,0.733
Jalen Crutcher,NOP,1,1,0,2.7,0.0,6.0,3.0,0.3,3.33,3.50,0.000,0.0,0.0,0.0,0.000,0.000,0.000
Jalen Duren,DET,60,13,47,29.4,13.9,57.6,27.5,1.8,1.87,0.88,0.242,5.2,0.7,8.6,0.552,0.590,0.959
Jalen Green,HOU,82,41,41,31.7,19.6,59.8,25.2,4.3,4.35,3.84,0.328,0.4,0.0,0.9,0.871,0.000,1.043
Jalen Hood-Schifino,LAL,20,9,11,5.0,1.7,10.2,4.5,0.8,4.68,4.44,0.162,0.2,0.0,0.3,0.000,0.000,0.667
Jalen Johnson,ATL,56,27,29,33.7,16.0,69.7,31.5,2.4,2.07,1.01,0.230,1.6,0.4,3.1,0.920,0.640,1.103
Jalen McDaniels,TOR,49,12,37,10.5,3.4,16.5,9.4,0.5,1.98,1.18,0.204,0.2,0.0,0.8,0.333,0.000,0.700
Jalen Pickett,DEN,26,19,7,4.6,1.6,10.0,4.3,0.8,4.65,4.37,0.162,0.0,0.0,0.0,0.000,0.000,0.000
Jalen Slawson,SAC,12,8,4,3.1,0.7,5.2,2.6,0.1,1.55,0.71,0.129,0.0,0.0,0.3,0.000,0.000,0.500
Jalen Smith,IND,61,36,25,17.2,9.9,25.0,15.7,0.6,1.41,0.45,0.394,1.0,0.5,4.3,0.750,0.563,1.049
Jalen Suggs,ORL,75,43,32,27.0,12.6,45.8,21.3,2.4,3.08,2.47,0.274,0.3,0.0,1.0,0.600,0.000,0.808
Jalen Williams,OKC,71,51,20,31.3,19.1,57.1,25.1,3.9,4.06,3.83,0.334,0.7,0.0,1.8,0.938,0.000,1.176
