Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
250,DeJon Jarreau,SG,26,MEM,9,150,9.8,.392,.260,.220,5.9,29.0,17.0,25.5,2.0,1.2,14.1,18.4,,-0.2,0.2,0.0,-0.001,,-4.7,0.6,-4.1,-0.1
251,DaQuan Jeffries,SG,26,NYK,17,46,3.2,.391,.588,.118,0.0,13.0,6.5,15.0,0.0,2.0,14.4,19.7,,-0.1,0.0,-0.1,-0.089,,-5.7,-2.4,-8.1,-0.1
252,Trey Jemison,C,24,TOT,21,434,12.4,.612,.000,.219,13.3,13.3,13.3,6.7,0.9,4.5,20.1,14.4,,0.2,0.4,0.7,.073,,-4.7,-0.7,-5.4,-0.4
253,Ty Jerome,SG,26,CLE,2,15,7.6,.500,.250,.000,8.1,0.0,4.0,27.4,0.0,0.0,20.0,14.8,,0.0,0.0,0.0,.034,,-4.2,-0.7,-4.9,0.0
254,Isaiah Joe,SG,24,OKC,73,1367,13.4,.626,.729,.113,2.6,11.5,7.2,8.7,1.5,1.4,8.2,16.8,,1.8,1.4,3.1,.110,,1.2,-0.4,0.7,0.9
255,Cameron Johnson,PF,27,BRK,57,1572,14.6,.580,.571,.172,3.9,14.5,9.0,12.9,1.5,0.9,7.7,19.7,,1.9,1.3,3.2,.099,,1.1,-0.5,0.6,1.0
256,Jalen Johnson,SF,22,ATL,55,1865,16.2,.581,.286,.212,4.3,26.0,14.8,15.3,1.7,2.3,11.6,19.3,,1.9,1.7,3.6,.094,,0.3,0.7,1.1,1.4
257,James Johnson,PF,36,IND,8,40,8.0,.405,.222,.222,2.9,8.9,5.9,19.5,6.0,2.0,28.8,14.6,,-0.1,0.1,0.0,-0.012,,-6.7,3.2,-3.5,0.0
258,Keldon Johnson,SF,24,SAS,68,2015,14.4,.567,.424,.256,5.2,15.9,10.5,14.3,1.2,0.8,9.3,22.0,,1.5,1.3,2.8,.067,,-0.1,-1.4,-1.6,0.2
259,Keon Johnson,SG,21,BRK,4,51,15.3,.598,.474,.526,6.5,4.6,5.6,8.3,2.9,1.8,14.6,23.4,,0.1,0.1,0.1,.098,,0.4,-0.9,-0.5,0.0
260,Keyontae Johnson,SF,23,OKC,9,66,1.7,.344,.188,.000,7.4,10.3,8.9,7.2,0.7,0.0,20.0,13.2,,-0.1,0.0,-0.1,-0.075,,-7.6,-2.4,-10.0,-0.1
261,Nikola Jokić,C,28,DEN,75,2595,30.9,.646,.167,.311,10.0,32.7,21.6,42.5,1.9,2.2,12.7,29.8,,11.2,4.6,15.8,.293,,9.1,4.4,13.4,10.2
262,Colby Jones,SG,21,SAC,26,153,7.6,.397,.263,.088,11.2,14.9,13.0,12.1,1.3,1.2,9.2,18.3,,-0.2,0.1,0.0,-0.011,,-5.7,-1.1,-6.8,-0.2
263,Damian Jones,C,28,CLE,37,256,16.3,.660,.176,.309,9.5,19.2,14.5,8.3,1.4,4.6,14.4,15.7,,0.4,0.4,0.8,.151,,-1.7,1.5,-0.2,0.1
264,Derrick Jones Jr.,SF,26,DAL,72,1693,11.7,.592,.482,.277,5.3,11.0,8.1,5.3,1.4,2.5,10.5,15.0,,1.3,1.5,2.8,.079,,-1.2,-0.3,-1.5,0.2
265,Herbert Jones,SF,25,NOP,71,2150,13.5,.642,.456,.265,3.7,9.3,6.6,11.3,2.3,2.8,12.0,14.2,,3.1,3.0,6.1,.136,,-0.6,1.6,1.0,1.7
266,Mason Jones,SG,25,SAC,4,22,12.7,.444,.857,.286,5.2,21.8,13.3,28.2,2.2,0.0,11.3,17.3,,0.0,0.0,0.0,.080,,-0.5,1.4,0.8,0.0
267,Tre Jones,PG,24,SAS,72,1967,14.9,.604,.321,.211,3.0,11.8,7.3,30.8,1.7,0.3,15.3,14.9,,3.3,1.3,4.5,.111,,-0.2,-0.1,-0.3,0.8
268,Tyus Jones,PG,27,WAS,66,1933,16.5,.578,.384,.060,1.1,9.5,5.2,34.8,1.7,0.8,8.8,16.4,,3.7,0.7,4.4,.110,,1.5,-0.9,0.6,1.3
269,DeAndre Jordan,C,35,DEN,36,396,16.1,.610,.000,.570,16.9,30.6,23.9,8.6,0.8,3.4,16.5,15.5,,0.5,0.6,1.2,.140,,-1.7,-0.1,-1.7,0.0
270,Cory Joseph,PG,32,GSW,26,296,6.2,.470,.656,.109,2.4,9.4,5.9,17.2,0.7,0.9,15.2,11.3,,0.0,0.1,0.2,.028,,-4.1,-0.7,-4.7,-0.2
271,Nikola Jović,PF,20,MIA,41,766,12.2,.569,.579,.180,3.5,23.1,13.1,15.4,1.4,1.8,13.7,16.7,,0.3,1.2,1.4,.090,,-1.3,1.5,0.1,0.4
272,Johnny Juzang,SG,22,UTA,15,241,7.8,.544,.743,.041,3.4,10.4,6.9,7.8,0.2,0.4,7.4,14.2,,0.1,0.0,0.1,.020,,-2.6,-2.8,-5.3,-0.2
273,Luke Kennard,SG,27,MEM,39,999,13.1,.641,.756,.143,1.2,12.3,6.5,20.9,1.0,0.2,13.9,16.8,,1.3,0.7,2.0,.095,,0.6,-0.9,-0.3,0.4
274,Walker Kessler,C,22,UTA,64,1493,17.8,.663,.054,.266,12.8,24.1,18.5,5.6,1.0,9.2,14.4,12.9,,2.3,1.7,4.0,.128,,-0.4,1.3,0.8,1.1
275,Braxton Key,SF,26,DEN,19,59,15.1,.509,.294,.353,6.3,25.9,16.4,19.2,1.7,1.4,4.8,15.4,,0.1,0.1,0.2,.150,,0.0,1.3,1.3,0.0
276,Corey Kispert,SF,24,WAS,76,1919,12.7,.617,.604,.199,1.6,11.0,6.2,9.9,1.0,0.6,10.1,19.7,,1.3,0.4,1.7,.043,,-0.4,-1.8,-2.2,-0.1
277,Maxi Kleber,C,32,DAL,39,790,7.8,.535,.622,.274,3.6,14.8,9.2,9.3,0.9,2.8,14.2,9.6,,0.3,0.7,1.0,.061,,-3.0,0.9,-2.1,0.0
278,Kevin Knox,SF,24,DET,31,560,9.9,.570,.505,.118,3.7,11.9,7.8,5.9,1.1,1.1,10.1,16.6,,0.1,0.3,0.4,.032,,-2.8,-1.8,-4.6,-0.4
279,John Konchar,SF,27,MEM,55,1173,11.4,.537,.577,.120,6.8,19.0,12.7,13.0,2.2,4.1,17.4,9.8,,0.5,1.7,2.2,.088,,-2.6,2.2,-0.4,0.5
280,Furkan Korkmaz,SG,26,PHI,35,300,9.3,.519,.526,.263,1.5,10.2,5.8,11.0,2.3,0.9,10.5,13.7,,0.0,0.3,0.3,.053,,-3.2,0.4,-2.8,-0.1
281,Luke Kornet,C,28,BOS,58,885,19.3,.727,.000,.269,14.0,15.2,14.6,8.5,1.3,5.7,8.9,11.0,,2.9,1.5,4.5,.242,,1.4,2.1,3.5,1.2
282,Vit Krejci,PG,23,ATL,18,446,8.8,.680,.671,.076,1.7,8.5,5.0,11.2,1.0,1.2,13.7,8.9,,0.6,0.1,0.6,.070,,-2.7,-0.3,-3.0,-0.1
283,Jonathan Kuminga,PF,21,GSW,70,1843,17.1,.597,.191,.349,5.6,15.4,10.5,12.1,1.4,1.7,10.8,24.7,,2.4,1.6,4.0,.105,,0.1,-0.4,-0.4,0.8
284,Kyle Kuzma,PF,28,WAS,70,2281,15.8,.547,.343,.183,3.0,20.4,11.5,20.8,0.8,1.8,11.9,29.9,,-1.1,1.2,0.1,.001,,0.4,-1.6,-1.1,0.5
285,Jock Landale,C,28,HOU,51,644,15.3,.563,.180,.297,14.2,13.4,13.8,11.1,1.1,4.0,11.0,14.5,,1.1,0.8,1.9,.141,,-0.8,0.3,-0.5,0.2
286,Jake LaRavia,PF,22,MEM,32,683,10.9,.498,.508,.353,7.6,11.7,9.6,10.4,1.9,1.4,10.7,20.7,,-0.2,0.7,0.5,.033,,-2.9,-1.0,-3.9,-0.3
287,Zach LaVine,SG,28,CHI,25,872,15.1,.578,.449,.274,1.0,16.5,8.6,17.0,1.2,0.9,11.0,23.9,,0.7,0.7,1.4,.077,,0.8,-0.7,0.1,0.5
288,A.J. Lawson,SG,23,DAL,38,260,12.7,.549,.430,.210,5.3,10.9,8.1,8.0,1.9,1.0,8.4,19.8,,0.1,0.2,0.3,.062,,-2.4,-1.2,-3.6,-0.1
289,Saben Lee,PG,24,PHO,22,179,13.6,.485,.296,.722,6.2,13.5,10.0,21.6,1.9,1.5,10.1,19.2,,0.1,0.2,0.4,.094,,-2.0,0.6,-1.4,0.0
290,Alex Len,C,30,SAC,43,395,15.4,.632,.039,.390,12.4,22.8,17.5,13.0,1.4,6.9,21.0,12.4,,0.5,0.6,1.1,.138,,-2.3,2.5,0.2,0.2
291,Kawhi Leonard,SF,32,LAC,68,2330,23.2,.626,.289,.246,4.5,16.5,10.8,16.9,2.4,2.3,8.5,26.7,,5.9,2.8,8.7,.180,,4.9,0.6,5.4,4.4
292,Caris LeVert,SG,29,CLE,65,1867,14.6,.521,.408,.246,2.4,14.5,8.5,26.2,1.9,1.6,11.7,23.3,,0.7,2.4,3.1,.080,,-0.7,0.8,0.1,1.0
293,Kira Lewis Jr.,PG,22,TOT,26,221,7.7,.425,.395,.224,4.2,7.1,5.7,19.1,1.6,0.9,13.5,18.8,,-0.2,0.2,-0.1,-0.019,,-4.7,-1.5,-6.2,-0.2
294,Maxwell Lewis,SF,21,LAL,31,97,-3.5,.237,.368,.000,2.6,2.3,2.4,6.0,1.0,0.9,32.1,12.6,,-0.4,0.0,-0.4,-0.188,,-9.9,-3.0,-12.9,-0.3
295,E.J. Liddell,PF,23,NOP,8,23,4.4,.291,.833,.333,0.0,24.4,12.4,5.2,4.3,8.6,22.5,16.8,,-0.1,0.1,0.0,-0.089,,-8.7,4.0,-4.7,0.0
296,Damian Lillard,PG,33,MIL,69,2439,19.8,.592,.489,.392,1.7,12.5,7.2,29.1,1.4,0.5,11.2,28.6,,5.4,1.8,7.3,.143,,3.5,-1.3,2.2,2.6
297,Nassir Little,SF,23,PHO,42,451,9.8,.571,.571,.168,3.8,14.8,9.6,6.1,1.1,2.0,9.9,13.7,,0.2,0.5,0.7,.074,,-2.4,-0.5,-3.0,-0.1
298,Dereck Lively II,C,19,DAL,55,1294,18.1,.728,.007,.274,12.0,21.3,16.7,6.4,1.3,5.2,13.1,12.7,,3.0,1.8,4.8,.179,,-0.3,0.8,0.5,0.8
299,Isaiah Livers,PF,25,DET,23,469,5.2,.460,.664,.155,3.7,8.3,5.9,7.0,1.3,0.9,11.4,12.8,,-0.3,0.2,-0.2,-0.016,,-5.0,-1.5,-6.5,-0.5
300,Chris Livingston,SF,20,MIL,17,72,6.1,.503,.222,.111,3.3,20.5,12.1,8.8,1.3,0.0,17.5,13.7,,-0.1,0.1,0.0,.009,,-7.2,-0.9,-8.1,-0.1
301,Kenneth Lofton Jr.,PF,21,TOT,18,120,6.7,.424,.280,.300,2.8,16.0,9.1,17.9,1.2,2.3,12.4,23.2,,-0.3,0.1,-0.2,-0.068,,-6.1,-0.6,-6.7,-0.1
302,Kevon Looney,C,27,GSW,70,1137,14.8,.618,.005,.364,13.9,27.0,20.5,14.5,1.1,1.8,16.0,11.2,,2.3,1.3,3.6,.152,,-0.9,1.3,0.4,0.7
303,Brook Lopez,C,35,MIL,74,2272,14.7,.607,.530,.177,5.7,14.0,9.9,7.1,0.9,6.6,8.9,15.9,,2.8,2.6,5.4,.114,,0.1,0.8,1.0,1.7
304,Robin Lopez,C,35,MIL,16,65,6.6,.453,.421,.105,5.5,3.5,4.5,7.8,0.7,3.9,9.1,14.6,,0.0,0.0,0.0,.004,,-4.6,-1.4,-6.0,-0.1
305,Kevin Love,PF,35,MIA,50,871,18.8,.601,.689,.323,7.5,36.1,21.6,19.5,1.0,1.1,10.1,21.4,,1.7,1.5,3.2,.176,,3.0,1.1,4.1,1.3
306,Kyle Lowry,PG,37,TOT,58,1642,11.0,.594,.664,.196,2.3,11.2,6.7,20.0,1.8,1.2,16.7,13.1,,1.5,1.8,3.3,.097,,-1.8,0.9,-0.9,0.4
307,Seth Lundy,SF,23,ATL,9,52,0.2,.373,.765,.235,2.1,13.7,7.7,0.0,0.0,0.0,5.1,15.9,,-0.1,0.0,-0.1,-0.091,,-7.7,-5.0,-12.7,-0.1
308,Trey Lyles,PF,28,SAC,53,1059,11.6,.595,.686,.230,5.7,20.0,12.7,7.8,0.6,1.4,9.9,14.7,,1.1,0.9,2.0,.089,,-0.6,-1.0,-1.6,0.1
309,Théo Maledon,PG,22,TOT,17,213,3.3,.385,.429,.214,2.1,11.1,6.5,17.9,1.6,0.0,19.0,19.6,,-0.6,0.1,-0.5,-0.120,,-8.3,-2.1,-10.4,-0.5
310,Sandro Mamukelashvili,C,24,SAS,41,319,16.8,.569,.417,.204,12.6,20.5,16.5,16.5,1.1,2.6,8.5,17.1,,0.6,0.3,0.8,.127,,0.4,-0.4,0.0,0.2
311,Terance Mann,SG,27,LAC,70,1765,11.4,.597,.428,.199,5.7,9.8,7.9,8.5,1.2,0.8,7.9,13.6,,2.5,1.0,3.5,.094,,-1.1,-0.8,-1.9,0.0
312,Tre Mann,PG,22,TOT,36,827,12.6,.545,.408,.172,2.3,16.0,9.0,22.8,2.3,0.1,15.8,17.9,,0.1,0.7,0.8,.045,,-2.3,0.4,-1.8,0.0
313,Boban Marjanović,C,35,HOU,13,59,17.4,.519,.077,.423,13.1,32.2,22.6,12.9,0.0,1.6,8.9,24.5,,0.1,0.1,0.1,.107,,-1.2,-2.0,-3.2,0.0
314,Lauri Markkanen,PF,26,UTA,55,1820,21.4,.631,.493,.311,7.7,20.5,14.1,9.5,1.3,1.3,7.1,25.1,,5.1,1.0,6.0,.160,,5.1,-1.5,3.6,2.6
315,Naji Marshall,SF,26,NOP,65,1253,12.8,.574,.410,.235,4.9,16.7,10.8,13.6,1.9,1.0,13.7,16.3,,0.9,1.7,2.6,.100,,-1.3,0.6,-0.7,0.4
316,Caleb Martin,SF,28,MIA,59,1601,10.9,.536,.415,.180,5.0,14.7,9.8,11.5,1.3,1.5,11.7,17.5,,0.1,2.0,2.0,.061,,-2.3,0.1,-2.2,-0.1
317,Cody Martin,SF,28,CHO,28,753,9.2,.460,.400,.153,2.8,14.2,8.3,19.1,2.1,2.2,16.1,16.1,,-0.8,0.6,-0.2,-0.010,,-4.1,0.6,-3.6,-0.3
318,KJ Martin,SF,23,TOT,59,723,9.8,.557,.159,.233,6.4,14.3,10.3,9.5,1.4,1.5,14.2,13.6,,0.2,0.7,0.9,.062,,-4.1,-0.1,-4.3,-0.4
319,Garrison Mathews,SG,27,ATL,62,896,9.3,.699,.856,.210,1.9,9.3,5.4,4.7,0.9,0.7,7.8,10.8,,1.4,0.1,1.6,.085,,-1.9,-0.9,-2.7,-0.2
320,Bennedict Mathurin,SF,21,IND,59,1538,13.0,.562,.323,.338,4.6,13.4,8.9,9.9,1.1,0.7,11.3,23.5,,0.6,0.7,1.3,.042,,-1.2,-2.3,-3.5,-0.6
321,Wesley Matthews,SG,37,ATL,35,408,8.0,.506,.711,.227,2.4,12.8,7.4,6.7,1.8,2.4,7.0,11.8,,0.1,0.2,0.4,.043,,-3.2,0.2,-3.1,-0.1
322,Tyrese Maxey,PG,23,PHI,67,2503,19.6,.571,.405,.267,1.6,10.0,5.7,27.1,1.3,1.2,7.0,27.9,,5.4,1.9,7.3,.139,,4.0,-1.1,2.9,3.1
323,Skylar Mays,PG-SG,26,TOT,35,427,12.0,.468,.342,.108,2.6,9.4,5.9,29.1,2.3,0.8,10.8,18.6,,0.0,0.4,0.4,.043,,-2.0,0.0,-2.0,0.0
324,Miles McBride,PG,23,NYK,64,1252,13.2,.598,.584,.117,2.7,6.3,4.5,11.9,1.9,0.5,6.1,16.6,,2.3,1.1,3.5,.132,,-0.4,0.4,0.0,0.6
325,CJ McCollum,PG,32,NOP,61,1972,17.3,.581,.524,.137,2.0,13.0,7.6,21.2,1.5,2.0,9.0,24.6,,2.6,2.4,5.0,.121,,2.8,-0.2,2.6,2.3
326,T.J. McConnell,PG,31,IND,67,1209,20.3,.576,.068,.115,3.5,14.4,8.9,41.3,2.7,0.5,15.2,23.3,,2.2,1.1,3.3,.130,,2.5,0.2,2.7,1.4
327,Jaden McDaniels,SF,23,MIN,67,1958,9.5,.570,.401,.125,3.6,9.0,6.4,6.7,1.6,1.8,11.9,16.1,,0.1,3.0,3.1,.076,,-3.3,0.9,-2.4,-0.2
328,Jalen McDaniels,SF,26,TOR,46,481,5.4,.418,.396,.172,3.6,14.3,8.8,9.7,1.7,1.1,13.3,18.8,,-1.0,0.3,-0.7,-0.074,,-7.0,-1.7,-8.7,-0.8
329,Doug McDermott,SF,32,TOT,61,869,8.9,.598,.811,.070,1.2,6.5,3.8,10.4,0.8,0.2,9.1,14.9,,0.5,0.2,0.7,.038,,-1.6,-2.0,-3.6,-0.3
330,JaVale McGee,C,36,SAC,44,328,18.6,.616,.040,.347,13.6,28.6,20.9,6.8,1.9,5.6,18.3,22.9,,0.1,0.6,0.6,.095,,-2.0,0.5,-1.5,0.0
331,Bryce McGowens,SG,21,CHO,55,820,9.0,.565,.449,.343,2.2,11.6,6.7,7.8,1.2,0.9,10.2,14.3,,0.2,0.3,0.6,.034,,-4.0,-0.9,-4.9,-0.6
332,Jordan McLaughlin,PG,27,MIN,51,554,15.5,.625,.624,.105,3.4,10.5,7.1,23.9,2.8,1.1,10.3,12.5,,1.2,1.0,2.2,.193,,1.6,3.2,4.8,0.9
333,De'Anthony Melton,SG,25,PHI,36,1002,13.5,.540,.595,.227,3.1,12.9,7.9,15.2,2.8,1.5,9.2,18.3,,0.7,1.3,2.0,.095,,-0.6,1.0,0.4,0.6
334,Nathan Mensah,C,25,CHO,25,307,5.1,.496,.000,.429,10.5,13.9,12.2,3.7,1.0,4.3,29.6,6.8,,-0.1,0.2,0.2,.025,,-8.7,-0.1,-8.9,-0.5
335,Sam Merrill,SG,27,CLE,60,1063,13.2,.600,.901,.071,2.5,10.8,6.7,14.1,0.9,0.3,4.5,17.7,,1.9,0.9,2.7,.124,,1.3,-0.8,0.5,0.7
336,Chimezie Metu,C,26,TOT,47,724,13.9,.614,.368,.294,6.0,19.7,13.0,7.5,2.6,1.9,15.4,16.3,,0.5,1.0,1.5,.098,,-1.9,1.1,-0.8,0.2
337,Vasilije Micić,PG,30,TOT,55,1071,11.1,.530,.408,.211,1.5,7.3,4.4,30.8,1.3,0.5,19.2,18.7,,0.0,0.5,0.5,.021,,-2.3,-2.0,-4.3,-0.6
338,Khris Middleton,SF,32,MIL,51,1386,17.1,.592,.389,.185,3.2,16.4,9.9,28.5,1.7,0.9,14.6,23.9,,1.8,1.3,3.1,.108,,1.1,-0.1,1.1,1.1
339,Brandon Miller,SF,21,CHO,70,2265,12.9,.550,.449,.152,2.9,12.8,7.6,11.6,1.4,1.6,10.2,23.9,,-0.6,1.2,0.6,.013,,-1.0,-1.6,-2.6,-0.4
340,Jordan Miller,SF,24,LAC,8,28,14.1,.658,.222,.222,13.5,8.3,10.8,0.0,0.0,0.0,9.2,17.2,,0.1,0.0,0.1,.111,,0.4,-4.3,-3.9,0.0
341,Leonard Miller,SF,20,MIN,13,42,28.3,.800,.267,.000,6.0,32.5,19.9,28.2,2.4,2.1,6.3,16.9,,0.2,0.1,0.3,.350,,6.5,5.8,12.3,0.2
342,Dariq Whitehead,SF,19,BRK,2,24,5.0,.255,.600,.400,0.0,19.7,9.5,15.5,0.0,3.8,0.0,10.7,,0.0,0.0,0.0,-0.029,,-5.4,-2.4,-7.8,0.0
343,Patty Mills,PG,35,TOT,30,396,7.4,.469,.653,.073,2.6,7.6,5.0,11.3,2.5,0.2,11.1,15.9,,-0.3,0.3,0.0,.006,,-5.0,0.5,-4.5,-0.2
344,Shake Milton,SG,27,TOT,48,581,9.3,.499,.328,.251,2.9,12.1,7.7,14.4,1.6,0.9,12.5,18.8,,-0.3,0.8,0.6,.047,,-4.3,0.6,-3.7,-0.3
345,Justin Minaya,SF,24,POR,29,241,5.8,.371,.622,.178,7.3,10.3,8.7,6.0,1.6,3.4,12.6,9.9,,-0.2,0.2,0.0,-0.002,,-5.0,-0.4,-5.3,-0.2
346,Josh Minott,SF,21,MIN,28,81,20.3,.579,.290,.452,6.2,18.2,12.6,12.7,3.1,5.5,5.1,21.5,,0.2,0.2,0.4,.221,,0.8,4.0,4.9,0.1
347,Davion Mitchell,PG,25,SAC,67,983,9.4,.566,.491,.125,2.1,8.4,5.2,15.7,0.8,0.3,11.4,14.5,,0.7,0.5,1.2,.060,,-2.4,-1.0,-3.4,-0.3
348,Donovan Mitchell,SG,27,CLE,53,1871,21.9,.594,.454,.293,2.8,14.3,8.7,28.3,2.5,1.4,11.3,31.6,,3.2,2.7,5.9,.150,,4.4,1.2,5.6,3.6
349,Evan Mobley,PF,22,CLE,46,1415,20.4,.632,.101,.315,8.9,27.7,18.5,16.0,1.5,4.3,12.7,20.7,,2.6,2.5,5.1,.173,,1.0,2.2,3.1,1.8
350,Isaiah Mobley,PF,24,CLE,8,54,6.0,.462,.538,.000,0.0,13.0,6.6,14.4,0.9,0.0,7.1,11.5,,0.0,0.0,0.0,.040,,-4.9,-1.1,-6.0,-0.1
351,Malik Monk,SG,25,SAC,72,1872,15.9,.564,.474,.230,1.7,11.8,6.6,28.8,1.2,1.9,13.2,26.0,,1.7,1.5,3.3,.083,,1.5,-1.0,0.4,1.1
352,Moses Moody,SG,21,GSW,61,1071,14.1,.584,.479,.218,6.8,13.1,9.9,6.4,1.8,1.9,8.6,18.5,,1.3,1.0,2.2,.100,,0.1,0.2,0.3,0.6
353,Xavier Moon,SG,29,LAC,10,39,5.0,.346,.333,.133,9.7,8.9,9.3,23.8,1.3,2.3,20.1,22.6,,-0.1,0.0,-0.1,-0.120,,-6.9,-2.8,-9.7,-0.1
354,Taze Moore,SG,25,POR,3,10,14.3,.600,.400,.000,0.0,0.0,0.0,19.4,5.0,0.0,16.7,25.7,,0.0,0.0,0.0,.019,,-4.6,1.7,-2.8,0.0
355,Wendell Moore Jr.,SG,22,MIN,21,65,9.1,.500,.286,.000,0.0,17.5,9.2,10.3,3.9,1.4,17.6,11.6,,-0.1,0.2,0.1,.069,,-6.0,4.3,-1.7,0.0
356,Ja Morant,PG,24,MEM,9,318,20.6,.570,.300,.376,2.1,16.7,9.1,42.3,1.1,1.5,12.0,30.6,,0.5,0.3,0.8,.118,,2.7,0.4,3.1,0.4
357,Marcus Morris,PF,34,TOT,47,786,10.4,.562,.453,.173,3.2,16.1,9.6,6.4,1.0,1.5,9.6,16.8,,0.2,0.7,1.0,.060,,-2.1,-1.3,-3.4,-0.3
358,Markieff Morris,PF,34,DAL,22,173,7.5,.502,.630,.074,2.7,17.7,10.2,8.8,1.4,0.5,15.2,16.4,,-0.2,0.2,0.0,.000,,-3.5,-1.3,-4.8,-0.1
359,Monte Morris,PG,28,TOT,28,423,13.8,.516,.445,.139,2.0,11.1,6.7,20.7,2.1,1.5,4.0,15.8,,0.5,0.6,1.2,.131,,-0.7,1.7,1.0,0.3
360,Trey Murphy III,SF,23,NOP,52,1495,15.9,.599,.711,.235,3.0,16.0,9.6,10.3,1.5,1.8,4.8,18.8,,2.6,2.0,4.5,.145,,2.2,0.0,2.2,1.6
361,Dejounte Murray,SG,27,ATL,75,2673,17.8,.556,.381,.181,2.3,15.1,8.5,27.7,1.9,0.8,11.2,26.7,,3.1,1.5,4.6,.083,,2.3,-0.7,1.6,2.5
362,Jamal Murray,PG,26,DEN,55,1754,20.1,.579,.336,.191,2.7,12.5,7.7,31.3,1.5,1.7,10.6,27.8,,3.3,1.8,5.1,.140,,4.0,-0.5,3.5,2.4
363,Keegan Murray,SF,23,SAC,72,2407,13.2,.572,.516,.129,4.6,14.5,9.4,6.9,1.5,2.0,6.2,18.0,,2.2,2.4,4.6,.091,,-0.5,-0.6,-1.1,0.5
364,Kris Murray,SF,23,POR,57,1155,9.0,.482,.489,.145,6.2,12.6,9.2,8.8,2.1,1.3,12.4,14.0,,-0.5,1.0,0.6,.023,,-3.5,-0.1,-3.6,-0.5
365,Mike Muscala,C,32,TOT,49,562,8.1,.481,.627,.167,7.0,16.5,11.7,7.7,0.8,1.9,10.6,13.6,,-0.1,0.3,0.2,.014,,-3.6,-1.4,-5.0,-0.4
366,Svi Mykhailiuk,SF,26,BOS,36,311,10.0,.529,.820,.070,3.3,9.9,6.8,10.3,1.6,0.0,8.0,15.7,,0.2,0.4,0.5,.081,,-2.0,-0.3,-2.3,0.0
367,Larry Nance Jr.,C,31,NOP,58,1134,14.7,.655,.267,.240,8.9,19.9,14.5,11.4,2.4,1.6,15.6,11.3,,1.8,1.9,3.7,.156,,-0.2,2.1,1.8,1.1
368,Pete Nance,PF,23,CLE,6,14,-10.9,.000,.000,1.000,0.0,16.7,8.5,0.0,0.0,0.0,25.8,12.3,,-0.1,0.0,-0.1,-0.299,,-16.2,-4.8,-21.0,-0.1
369,Andrew Nembhard,PG,24,IND,64,1587,11.2,.568,.323,.103,2.6,7.3,4.9,20.0,1.8,0.3,15.8,16.3,,0.9,0.7,1.7,.050,,-1.8,-0.6,-2.4,-0.1
370,Aaron Nesmith,SF,24,IND,68,1876,12.9,.630,.533,.205,3.7,12.4,8.1,6.7,1.6,2.0,8.5,16.1,,2.4,1.3,3.7,.095,,-0.2,-0.2,-0.4,0.8
371,Georges Niang,PF,30,CLE,78,1750,10.0,.584,.623,.096,1.5,16.4,9.1,7.6,0.8,0.9,10.1,17.8,,0.4,1.8,2.2,.061,,-2.6,-0.4,-2.9,-0.4
372,Daishen Nix,PG,21,MIN,13,46,11.1,.463,.682,.182,0.0,4.9,2.6,16.0,5.5,0.0,11.2,25.9,,-0.1,0.1,0.0,.001,,-4.3,2.3,-2.0,0.0
373,Zeke Nnaji,PF,23,DEN,54,536,12.5,.527,.158,.424,13.4,13.0,13.2,7.3,1.3,5.9,14.1,15.8,,0.3,0.7,1.0,.091,,-3.7,0.2,-3.5,-0.2
374,Jaylen Nowell,SG,24,TOT,11,195,9.6,.499,.375,.097,3.5,9.2,6.2,14.3,1.0,0.9,7.4,17.9,,0.0,0.1,0.1,.019,,-3.9,-1.2,-5.1,-0.2
375,Markquis Nowell,SG,24,TOR,1,4,55.0,.532,.000,2.000,57.0,0.0,29.1,57.1,12.3,0.0,0.0,20.2,,0.0,0.0,0.1,.659,,29.1,14.2,43.3,0.0
376,Frank Ntilikina,PG,25,CHO,5,43,0.2,.253,.889,.222,2.6,13.8,8.0,11.5,0.0,0.0,9.2,11.2,,-0.1,0.0,-0.1,-0.095,,-10.0,-3.4,-13.4,-0.1
377,Jusuf Nurkić,C,29,PHO,72,1965,17.4,.558,.146,.413,13.5,32.2,23.4,19.2,1.8,3.4,18.4,19.5,,1.6,3.6,5.3,.128,,-1.0,1.8,0.7,1.3
378,Jordan Nwora,SF,25,TOT,48,650,13.2,.557,.440,.179,4.1,19.5,11.7,12.3,1.9,1.3,14.0,22.5,,-0.2,0.5,0.3,.025,,-1.6,-1.6,-3.2,-0.2
379,Royce O'Neale,SF,30,TOT,74,1830,11.1,.552,.782,.061,3.6,18.6,11.0,14.9,1.4,2.0,11.9,14.0,,1.2,2.0,3.2,.083,,-1.0,1.0,0.0,0.9
380,Chuma Okeke,SF,25,ORL,43,421,7.1,.468,.734,.064,5.1,17.3,11.1,6.1,1.1,1.5,11.8,13.2,,-0.3,0.6,0.3,.035,,-3.1,-0.1,-3.2,-0.1
381,Josh Okogie,SG,25,PHO,57,953,11.7,.549,.458,.502,9.4,9.1,9.2,8.5,2.4,2.1,12.7,12.9,,0.9,1.1,2.0,.100,,-1.5,0.8,-0.7,0.3
