Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
156,Alex Fudge,SF,20,LAL,4,14,-1.9,.291,.333,.333,17.7,0.0,8.4,0.0,0.0,0.0,12.7,24.5,,-0.1,0.0,-0.1,-0.228,,-9.9,-8.2,-18.1,-0.1
157,Markelle Fultz,PG,25,ORL,38,813,12.2,.481,.052,.108,7.4,10.7,9.1,20.2,2.4,1.4,13.1,18.6,,-0.2,1.3,1.1,.063,,-2.9,1.3,-1.6,0.1
158,Andrew Funk,SG,24,CHI,2,3,-12.6,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,,0.0,0.0,0.0,-0.351,,-18.5,-9.9,-28.4,0.0
159,Wenyen Gabriel,PF,26,MEM,5,81,2.5,.351,.273,.227,9.6,26.8,17.9,5.3,1.2,2.3,24.8,17.2,,-0.3,0.1,-0.2,-0.127,,-10.7,-2.0,-12.6,-0.2
160,Daniel Gafford,C-PF,25,TOT,70,1736,21.4,.721,.000,.374,12.5,23.4,17.9,9.0,1.7,7.0,11.5,14.7,,4.8,2.4,7.2,.199,,0.5,1.8,2.4,1.9
161,Danilo Gallinari,PF-SF,35,TOT,48,611,13.6,.603,.500,.511,3.5,16.1,9.7,12.0,1.0,0.8,8.2,16.9,,1.0,0.3,1.3,.101,,-0.7,-1.0,-1.6,0.1
162,Darius Garland,PG,24,CLE,54,1801,14.4,.558,.420,.208,1.9,7.2,4.6,29.3,1.9,0.3,15.9,25.5,,0.5,1.8,2.3,.061,,0.1,-1.2,-1.2,0.4
163,Usman Garuba,PF,21,GSW,3,8,6.2,.000,.000,.000,14.6,0.0,7.3,13.8,6.2,0.0,0.0,5.3,,0.0,0.0,0.0,.066,,-6.4,3.6,-2.9,0.0
164,Luka Garza,C,25,MIN,22,113,19.9,.558,.437,.310,16.8,12.1,14.3,6.3,1.3,0.8,5.8,33.7,,0.1,0.2,0.3,.132,,-0.3,-2.8,-3.1,0.0
165,Kaiser Gates,SF,27,NOP,1,7,-19.4,.000,.500,.000,0.0,16.0,8.1,0.0,0.0,0.0,0.0,24.9,,-0.1,0.0,-0.1,-0.551,,-18.6,-10.1,-28.7,-0.1
166,Keyonte George,PG,20,UTA,70,1877,10.2,.526,.536,.279,0.9,11.3,6.1,23.4,0.9,0.3,16.9,22.6,,-0.6,0.2,-0.4,-0.011,,-1.7,-2.8,-4.5,-1.2
167,Paul George,PF,33,LAC,71,2410,19.2,.611,.479,.224,1.8,16.1,9.2,15.9,2.3,1.3,9.7,26.6,,4.1,2.6,6.8,.135,,2.8,0.1,3.0,3.0
168,Taj Gibson,PF,38,TOT,18,185,4.3,.416,.357,.071,6.4,12.9,9.7,6.0,0.8,3.0,14.8,7.9,,-0.1,0.2,0.1,.029,,-6.2,0.1,-6.1,-0.2
169,Josh Giddey,SG,21,OKC,76,1905,16.7,.547,.287,.139,6.9,22.1,14.8,25.9,1.2,2.0,15.2,23.1,,1.2,2.5,3.8,.095,,1.2,0.3,1.4,1.6
