Team,Wins
TOT,0
MIA,43.0
MEM,25.5
MIN,39.0
PHO,47.5
CLE,45.5
NOP,38.0
MIL,57.5
ORL,35.0
NYK,43.5
WAS,30.5
POR,24.5
CHO,20.0
PHI,64.5
SAS,30.5
SAC,36.5
TOR,15.5
ATL,48.5
CHI,43.0
DET,28.0
LAC,48.5
DEN,50.5
BRK,34.5
BOS,53.5
HOU,45.0
DAL,60.5
IND,49.5
LAL,42.5
UTA,34.5
GSW,35.5
OKC,59.5
