,
ATL,IND
ATL,MIN
ATL,CHA
ATL,MIA
ATL,DEN
ATL,DAL
ATL,DET
ATL,CHI
ATL,MIL
ATL,BOS
ATL,POR
ATL,BOS
ATL,CHA
ATL,PHX
ATL,LAL
ATL,LAC
ATL,UTA
ATL,POR
ATL,NOP
ATL,MEM
ATL,CLE
ATL,NYK
ATL,BKN
ATL,BKN
ATL,UTA
ATL,ORL
ATL,TOR
ATL,CHA
ATL,CHI
ATL,HOU
ATL,PHI
ATL,BOS
ATL,LAC
ATL,GSW
ATL,PHX
ATL,LAL
ATL,TOR
ATL,DAL
ATL,GSW
ATL,SAC
ATL,CLE
ATL,MIA
ATL,ORL
ATL,SAS
ATL,WAS
ATL,IND
ATL,PHI
ATL,ORL
ATL,IND
ATL,OKC
ATL,WAS
ATL,SAC
ATL,CHI
ATL,MEM
ATL,MIA
ATL,HOU
ATL,DET
ATL,CLE
ATL,TOR
ATL,TOR
ATL,DEN
ATL,PHI
ATL,BKN
ATL,MIL
ATL,SAS
ATL,CLE
ATL,BOS
ATL,WAS
ATL,BKN
ATL,IND
ATL,PHI
ATL,NYK
ATL,DET
ATL,MIA
ATL,ORL
ATL,OKC
ATL,NOP
ATL,WAS
ATL,MIN
ATL,MIL
ATL,NYK
ATL,CHA
BOS,WAS
BOS,CHA
BOS,NYK
BOS,MIL
BOS,POR
BOS,SAC
BOS,OKC
BOS,CHA
BOS,NOP
BOS,ATL
BOS,ATL
BOS,CHI
BOS,DET
BOS,MIL
BOS,DET
BOS,WAS
BOS,PHX
BOS,UTA
BOS,POR
BOS,PHX
BOS,DEN
BOS,CLE
BOS,GSW
BOS,DAL
BOS,PHI
BOS,NYK
BOS,CHI
BOS,BKN
BOS,BKN
BOS,MIA
BOS,WAS
BOS,ATL
BOS,MEM
BOS,LAL
BOS,IND
BOS,NOP
BOS,LAC
BOS,MIA
BOS,DAL
BOS,HOU
BOS,DEN
BOS,SAS
BOS,TOR
BOS,HOU
BOS,MIL
BOS,MIN
BOS,IND
BOS,IND
BOS,UTA
BOS,OKC
BOS,SAS
BOS,TOR
BOS,DET
BOS,LAL
BOS,LAC
BOS,SAC
BOS,GSW
BOS,ORL
BOS,ORL
